Cuisine,Lognormal D,Gamma D,Weibull D,Gaussian D,Exponential D,Uniform D
Italian,0.0807,0.2434,0.1140,0.4556,0.4601,0.9672
Mexican,0.0843,0.1445,0.0741,0.4646,0.2703,0.9816
South American,0.1011,0.2747,0.1416,0.4648,0.4950,0.9677
Canadian,0.0745,0.1377,0.0630,0.4655,0.2743,0.9827
Indian Subcontinent,0.0683,0.2908,0.1296,0.4451,0.6336,0.9450
French,0.0838,0.2353,0.1083,0.4479,0.4409,0.9607
Chinese and Mongolian,0.0669,0.2309,0.1148,0.4538,0.4544,0.9674
Australian,0.0381,0.2138,0.0886,0.4162,0.5618,0.9098
US,0.0806,0.0527,0.0373,0.2859,0.1240,0.8672
UK,0.0871,0.2845,0.1407,0.4457,0.6063,0.9454
Deutschland ,0.0808,0.2795,0.1362,0.4533,0.5494,0.9428
Greek,0.0836,0.2930,0.1377,0.4567,0.5976,0.9582
Middle Eastern,0.0900,0.3092,0.1392,0.4637,0.6262,0.9559
Caribbean,0.0747,0.1573,0.0678,0.4626,0.3511,0.9775
Spanish and Portuguese,0.0826,0.2418,0.1003,0.4577,0.4771,0.9655
Scandinavian,0.0981,0.2998,0.1491,0.4545,0.5856,0.9426
Rest Africa,0.0820,0.2955,0.1375,0.4540,0.6435,0.9374
Thai,0.1008,0.3143,0.1669,0.4553,0.6235,0.9365
Irish,0.0799,0.2303,0.1010,0.4574,0.4272,0.9693
Eastern European,0.0771,0.2515,0.1191,0.4543,0.4630,0.9662
Japanese,0.0619,0.2668,0.1154,0.4520,0.5899,0.9551
Southeast Asian,0.0817,0.2891,0.1416,0.4460,0.6073,0.9346
Northern Africa,0.0888,0.3039,0.1437,0.4581,0.6586,0.9286
Belgian,0.0922,0.2998,0.1510,0.4475,0.5934,0.9331
Korean,0.0763,0.2352,0.1167,0.4551,0.4480,0.9634
Central American,0.1001,0.1692,0.0809,0.4539,0.2911,0.9683
