Cuisine,Lognormal,Gamma,Weibull,Gaussian,Exponential,Uniform
Italian,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Mexican,66.6700,0.0000,100.0000,0.0000,0.0000,0.0000
South American,33.3300,0.0000,0.0000,0.0000,0.0000,0.0000
Canadian,66.6700,0.0000,100.0000,0.0000,0.0000,0.0000
Indian Subcontinent,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
French,66.6700,0.0000,33.3300,0.0000,0.0000,0.0000
Chinese and Mongolian,100.0000,0.0000,33.3300,0.0000,0.0000,0.0000
Australian,100.0000,0.0000,100.0000,0.0000,0.0000,0.0000
US,66.6700,100.0000,100.0000,0.0000,0.0000,0.0000
UK,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Deutschland ,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Greek,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Middle Eastern,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Caribbean,66.6700,0.0000,100.0000,0.0000,0.0000,0.0000
Spanish and Portuguese,66.6700,0.0000,33.3300,0.0000,0.0000,0.0000
Scandinavian,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Rest Africa,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Thai,33.3300,0.0000,0.0000,0.0000,0.0000,0.0000
Irish,66.6700,0.0000,33.3300,0.0000,0.0000,0.0000
Eastern European,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Japanese,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Southeast Asian,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Northern Africa,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Belgian,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Korean,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Central American,66.6700,0.0000,66.6700,0.0000,0.0000,0.0000
