Cuisine,mean_sk_n,Std
Italian,-0.4801,0.5233
Mexican,-0.7354,0.3393
South American,-0.4319,0.1860
Canadian,-0.7769,0.2606
Indian Subcontinent,0.2868,0.4026
French,-0.5897,0.4948
Chinese and Mongolian,-0.3393,0.1724
Australian,-0.0432,0.2731
US,-1.1048,0.4310
UK,-0.1158,0.3744
Deutschland ,-0.0448,0.6772
Greek,-0.1747,0.5483
Middle Eastern,-0.1056,0.3537
Caribbean,-0.6853,0.1939
Spanish and Portuguese,-0.5127,0.3792
Scandinavian,-0.1344,0.7413
Rest Africa,0.1503,0.5223
Thai,0.1456,0.5033
Irish,-0.5978,0.5123
Eastern European,-0.5035,0.3523
Japanese,-0.0242,0.3569
Southeast Asian,0.0767,0.4831
Northern Africa,0.2426,0.4242
Belgian,0.0736,0.5375
Korean,-0.2099,0.2799
Central American,-0.8471,0.3628
