cuisine,Total lipid (fat) (g),Protein (g),"Carbohydrate, by difference (g)"
Italian,0.9856,0.9820,0.9747
Mexican,0.9821,0.9786,0.9770
South American,0.9902,0.9890,0.9785
Canadian,0.9828,0.9801,0.9765
Indian Subcontinent,0.9865,0.9841,0.9868
French,0.9818,0.9779,0.9725
Chinese and Mongolian,0.9905,0.9878,0.9862
Australian,0.9753,0.9723,0.9665
US,0.9793,0.9735,0.9753
UK,0.9709,0.9672,0.9613
Deutschland ,0.9870,0.9850,0.9854
Greek,0.9888,0.9828,0.9794
Middle Eastern,0.9793,0.9731,0.9749
Caribbean,0.9795,0.9792,0.9749
Spanish and Portuguese,0.9863,0.9792,0.9722
Scandinavian,0.9822,0.9822,0.9861
Rest Africa,0.9832,0.9803,0.9730
Thai,0.9931,0.9908,0.9900
Irish,0.9652,0.9628,0.9510
Eastern European,0.9872,0.9852,0.9800
Japanese,0.9569,0.9510,0.9583
Southeast Asian,0.9887,0.9892,0.9881
Northern Africa,0.9894,0.9832,0.9876
Belgian,0.9840,0.9858,0.9802
Korean,0.9850,0.9865,0.9835
Central American,0.9780,0.9780,0.9692
