Cuisine,Carbohydrate mu_n (g),Carbohydrate s_n,Protein mu_n (g),Protein s_n,Fat mu_n (g),Fat s_n
Italian,568.9482,1.7029,341.5994,1.8118,276.7326,1.8986
Mexican,227.9156,1.5019,183.4599,1.8492,128.8437,2.0489
South American,307.7644,1.5066,927.5037,1.7268,367.2719,1.7209
Canadian,269.6105,1.6151,106.8537,1.7130,180.0283,1.9752
Indian Subcontinent,1368.4594,1.9093,900.3124,2.1958,662.7352,2.1641
French,640.7972,1.8173,226.6726,1.7812,308.2793,1.8715
Chinese and Mongolian,264.0009,1.5318,453.0530,1.6955,424.0348,1.7839
Australian,2180.6818,2.3656,1610.8680,2.5532,1534.7343,2.6525
US,168.8376,1.5271,106.7886,1.7158,122.7211,1.8043
UK,1661.1027,2.1241,742.2904,2.0308,909.3751,2.2670
Deutschland ,2206.5816,2.0265,371.0871,1.7582,588.9186,1.9113
Greek,888.4773,1.8443,640.2168,2.0606,737.3103,2.0339
Middle Eastern,1215.7035,1.8687,757.7039,2.0726,751.3207,2.1373
Caribbean,276.4719,1.5947,192.6156,1.9532,281.2959,2.2217
Spanish and Portuguese,593.3886,1.8486,295.7218,1.9530,368.2373,2.0680
Scandinavian,2218.0959,1.8784,491.6293,1.8122,551.4154,2.0692
Rest Africa,2753.8767,2.0738,696.5033,2.1739,940.7934,2.3647
Thai,595.1865,1.6093,796.0082,1.9264,1286.4322,2.2394
Irish,552.2963,1.7019,301.2257,1.7181,243.0581,2.0201
Eastern European,643.6765,1.6080,375.7036,1.7035,434.4528,1.8755
Japanese,666.7565,1.8444,647.1558,2.1129,510.5102,2.3153
Southeast Asian,920.4444,1.7572,917.7492,2.0463,1200.4801,2.3962
Northern Africa,2302.0813,2.0873,1348.1384,2.3438,974.4233,2.1542
Belgian,1977.6144,1.8999,725.6263,1.7849,611.1795,1.9263
Korean,261.9586,1.3675,322.4635,1.8027,503.5948,1.9563
Central American,374.0132,1.6725,190.1138,1.8587,179.6438,2.0737
