Cuisine,Slope,R2
Italian,1.2778,0.9626
Mexican,0.8036,0.9995
South American,0.7332,0.9993
Canadian,1.2364,0.7200
Indian Subcontinent,0.8277,1.0000
French,1.0099,0.9986
Chinese and Mongolian,1.5714,0.9508
Australian,1.1573,0.9938
US,0.1569,0.0341
UK,0.4177,0.6778
Deutschland ,0.8511,0.9706
Greek,1.9269,0.9982
Middle Eastern,1.1350,0.9536
Caribbean,0.7067,0.6346
Spanish and Portuguese,0.8211,0.6118
Scandinavian,0.8084,0.9968
Rest Africa,0.8070,0.9245
Thai,0.6269,0.9839
Irish,0.5435,0.4722
Eastern European,0.5264,0.8902
Japanese,0.4860,0.1953
Southeast Asian,1.0492,0.8588
Northern Africa,0.8476,0.9778
Belgian,0.7806,0.9883
Korean,1.2870,0.5148
Central American,1.1334,0.8984
