Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
5155,Australian,Australian,Australasian,8.5275,29.9850,0.7967,0.0728,Australian
5156,Australian,Australian,Australasian,183.6060,1109.0838,48.4967,20.5084,Australian
5157,Australian,Australian,Australasian,531.8079,3124.9648,126.1105,53.5130,Australian
5158,Australian,Australian,Australasian,77.3123,609.7306,23.2385,30.3241,Australian
5159,Australian,Australian,Australasian,148.7769,1165.5621,28.8243,47.9832,Australian
5160,Australian,Australian,Australasian,56.8662,1772.8917,59.2292,151.1760,Australian
5161,Australian,Australian,Australasian,176.1468,2075.8033,128.0639,110.2185,Australian
5162,Australian,Australian,Australasian,157.7791,2182.4920,27.6401,159.4618,Australian
5163,Australian,Australian,Australasian,95.9869,875.2099,45.8014,34.6380,Australian
5164,Australian,Australian,Australasian,,,,,Australian
5165,Australian,Australian,Australasian,205.6797,908.4710,22.8413,1.9333,Australian
5166,Australian,Australian,Australasian,54.4985,820.5140,21.5366,60.2610,Australian
5167,Australian,Australian,Australasian,48.2634,1044.8420,48.5583,78.0304,Australian
5168,Australian,Australian,Australasian,66.1666,758.1018,7.0549,54.6447,Australian
5169,Australian,Australian,Australasian,47.7567,227.6700,9.0971,2.5145,Australian
5170,Australian,Australian,Australasian,262.8160,3105.5600,42.7440,224.2000,Australian
5171,Australian,Australian,Australasian,8.5910,552.0400,12.0545,52.8720,Australian
5172,Australian,Australian,Australasian,20.5178,2957.7184,117.7507,269.3688,Australian
5173,Australian,Australian,Australasian,18.4765,1859.7000,16.4380,195.4365,Australian
5174,Australian,Australian,Australasian,45.9940,1074.0147,99.8550,58.2600,Australian
5175,Australian,Australian,Australasian,46.3024,459.2641,4.5138,27.7030,Australian
5176,Australian,Australian,Australasian,142.8422,1232.1549,123.5489,21.1056,Australian
5177,Australian,Australian,Australasian,25.4376,828.9600,8.7120,83.3376,Australian
5178,Australian,Australian,Australasian,147.7161,1340.6920,46.7523,67.0577,Australian
5179,Australian,Australian,Australasian,93.5827,2178.7453,131.3446,158.2858,Australian
5180,Australian,Australian,Australasian,200.5575,2694.6529,229.3383,110.8584,Australian
5181,Australian,Australian,Australasian,4.3691,104.9881,7.2072,6.6533,Australian
5182,Australian,Australian,Australasian,93.8258,1280.1487,16.1840,100.5574,Australian
5183,Australian,Australian,Australasian,71.5690,695.4116,22.1702,43.6558,Australian
5184,Australian,Australian,Australasian,44.3280,1506.5987,192.9467,62.0277,Australian
5185,Australian,Australian,Australasian,58.6239,1199.3893,115.1218,61.4667,Australian
5186,Australian,Australian,Australasian,130.5787,982.7953,37.2087,38.6487,Australian
5187,Australian,Australian,Australasian,1.9836,645.4200,0.3816,72.0300,Australian
5188,Australian,Australian,Australasian,34.9880,526.2499,26.3694,32.9161,Australian
5189,Australian,Australian,Australasian,97.7776,1132.4410,24.1636,73.4748,Australian
5190,Australian,Australian,Australasian,8.2736,886.3180,101.8182,47.4849,Australian
5191,Australian,Australian,Australasian,50.0045,1034.6599,0.8616,92.8010,Australian
5192,Australian,Australian,Australasian,67.4136,751.3528,3.3125,54.6128,Australian
