Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
9173,Belgian,Belgian,European,260.3333,2858.2170,41.3200,195.3100,Belgian
9174,Belgian,Belgian,European,117.8344,1579.2402,199.7489,34.6024,Belgian
9175,Belgian,Belgian,European,464.9362,3425.7750,91.2248,136.2548,Belgian
9176,Belgian,Belgian,European,334.1707,3404.0431,97.2512,183.0533,Belgian
9177,Belgian,Belgian,European,154.8792,1701.2020,54.2969,102.1574,Belgian
9178,Belgian,Belgian,European,163.9606,3252.6151,435.4410,81.9157,Belgian
9179,Belgian,Belgian,European,1101.6543,9385.4339,610.8395,298.7959,Belgian
9180,Belgian,Belgian,European,48.6058,2675.8189,178.6904,193.4985,Belgian
9181,Belgian,Belgian,European,334.8543,3455.7187,49.5158,229.2430,Belgian
9182,Belgian,Belgian,European,126.6331,729.1238,21.6607,19.0973,Belgian
9183,Belgian,Belgian,European,147.4276,4227.3626,357.3945,246.0282,Belgian
9184,Belgian,Belgian,European,0.4752,545.1600,39.3492,42.6888,Belgian
9185,Belgian,Belgian,European,193.5865,2529.2124,236.4185,90.2574,Belgian
9186,Belgian,Belgian,European,22.5493,885.6208,54.1891,65.5525,Belgian
9187,Belgian,Belgian,European,255.4250,9590.7732,31.7270,958.1235,Belgian
12867,Belgian,Dutch,European,242.8611,1758.7190,34.7760,81.5550,Belgian
12868,Belgian,Dutch,European,323.7372,2866.4380,79.4870,153.3750,Belgian
12869,Belgian,Dutch,European,475.7397,3873.3820,48.6114,215.5397,Belgian
12870,Belgian,Dutch,European,248.2120,2018.6880,12.6983,113.6679,Belgian
12871,Belgian,Dutch,European,332.9635,3448.0600,49.3540,228.9550,Belgian
12872,Belgian,Dutch,European,45.7525,1183.6865,29.6488,105.6609,Belgian
12873,Belgian,Dutch,European,146.9409,4226.4192,198.9006,320.8479,Belgian
12874,Belgian,Dutch,European,476.9782,3205.3800,71.4920,122.3114,Belgian
12875,Belgian,Dutch,European,158.3718,1518.5637,17.4142,99.0748,Belgian
12876,Belgian,Dutch,European,366.0644,2676.8760,55.3040,124.7100,Belgian
12877,Belgian,Dutch,European,183.6359,1090.7137,15.7755,39.1765,Belgian
12878,Belgian,Dutch,European,114.5153,2233.9352,224.1384,100.4433,Belgian
12879,Belgian,Dutch,European,227.7570,1177.7600,33.0356,22.6640,Belgian
12880,Belgian,Dutch,European,565.4764,4782.0840,11.3139,297.1909,Belgian
12881,Belgian,Dutch,European,579.9755,6828.1005,205.7462,448.8432,Belgian
12882,Belgian,Dutch,European,349.4552,1884.3740,38.7204,33.9767,Belgian
12883,Belgian,Dutch,European,891.9001,4831.0267,59.5061,136.9632,Belgian
12884,Belgian,Dutch,European,376.5799,3668.1500,89.5460,219.2208,Belgian
12885,Belgian,Dutch,European,240.6450,913.6312,3.3580,1.2986,Belgian
12886,Belgian,Dutch,European,295.6471,2468.6000,65.2363,126.7190,Belgian
12887,Belgian,Dutch,European,53.4738,3364.7831,180.9807,265.5853,Belgian
12888,Belgian,Dutch,European,52.2883,283.3200,11.5328,5.2691,Belgian
12889,Belgian,Dutch,European,47.1595,1815.0300,45.6115,162.0259,Belgian
12890,Belgian,Dutch,European,193.7981,1565.2923,29.4443,80.4527,Belgian
12891,Belgian,Dutch,European,375.6620,3703.5000,85.4880,230.4000,Belgian
12892,Belgian,Dutch,European,139.7218,617.6250,12.5575,6.0600,Belgian
12893,Belgian,Dutch,European,1210.2991,5775.8005,169.7381,43.0209,Belgian
12894,Belgian,Dutch,European,243.0758,2796.6440,73.7177,185.5143,Belgian
12895,Belgian,Dutch,European,13.3512,2084.0094,21.2197,216.5183,Belgian
12896,Belgian,Dutch,European,581.5862,3506.3000,57.1328,124.7640,Belgian
12897,Belgian,Dutch,European,334.8543,3455.7187,49.5158,229.2430,Belgian
12898,Belgian,Dutch,European,37.8259,2194.5172,90.4720,188.9552,Belgian
12899,Belgian,Dutch,European,55.2159,1346.8678,128.1405,71.4333,Belgian
12900,Belgian,Dutch,European,273.6955,1675.1100,26.0107,59.6302,Belgian
12901,Belgian,Dutch,European,366.5415,1546.5667,19.2175,20.3122,Belgian
12902,Belgian,Dutch,European,56.2863,764.0840,43.4148,41.3844,Belgian
12903,Belgian,Dutch,European,0.4752,545.1600,39.3492,42.6888,Belgian
12904,Belgian,Dutch,European,355.1250,2901.5600,21.7680,166.6000,Belgian
