Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
18754,Canadian,Canadian,North American,204.4322,1716.1265,60.7493,79.3197,Canadian
18755,Canadian,Canadian,North American,244.9431,954.1540,2.1857,0.4168,Canadian
18756,Canadian,Canadian,North American,220.0041,853.2000,0.1368,0.1890,Canadian
18757,Canadian,Canadian,North American,628.6021,3878.9760,68.3092,134.5203,Canadian
18758,Canadian,Canadian,North American,6.2609,31.7738,1.2893,1.1560,Canadian
18759,Canadian,Canadian,North American,360.7690,1739.3000,22.7545,34.4085,Canadian
18760,Canadian,Canadian,North American,45.2115,584.0543,12.6660,36.4875,Canadian
18761,Canadian,Canadian,North American,7.6452,484.4180,0.0000,54.5000,Canadian
18762,Canadian,Canadian,North American,284.3641,1101.0369,3.7522,1.4305,Canadian
18763,Canadian,Canadian,North American,78.0641,578.1473,21.9507,24.4849,Canadian
18764,Canadian,Canadian,North American,111.5678,2404.5862,98.3789,180.7546,Canadian
18765,Canadian,Canadian,North American,124.0696,1490.4690,97.2773,63.0334,Canadian
18766,Canadian,Canadian,North American,850.0684,3567.4975,74.5329,10.9871,Canadian
18767,Canadian,Canadian,North American,40.2021,584.0050,22.5616,38.2926,Canadian
18768,Canadian,Canadian,North American,115.7560,589.0000,5.4750,14.4000,Canadian
18769,Canadian,Canadian,North American,12.8608,597.9312,94.5709,16.0827,Canadian
18770,Canadian,Canadian,North American,100.9581,560.3105,13.7029,16.4027,Canadian
18771,Canadian,Canadian,North American,6.8464,659.5000,38.5554,51.8244,Canadian
18772,Canadian,Canadian,North American,429.4689,2522.3834,186.3400,6.0525,Canadian
18773,Canadian,Canadian,North American,241.9383,1635.6570,34.0640,67.1100,Canadian
18774,Canadian,Canadian,North American,159.4098,912.0919,12.0899,27.8784,Canadian
18775,Canadian,Canadian,North American,269.8144,1971.6740,43.0563,93.5292,Canadian
18776,Canadian,Canadian,North American,0.0000,522.8076,89.7602,15.7667,Canadian
18777,Canadian,Canadian,North American,347.0690,3005.1050,75.9634,160.4682,Canadian
18778,Canadian,Canadian,North American,86.3640,408.0000,15.8520,3.0000,Canadian
18779,Canadian,Canadian,North American,12.5323,1884.8908,197.7929,114.9768,Canadian
18780,Canadian,Canadian,North American,139.7870,1248.6995,9.4023,70.5782,Canadian
18781,Canadian,Canadian,North American,167.7917,1623.3546,7.7466,110.7816,Canadian
18782,Canadian,Canadian,North American,9.3783,1465.4350,2.2340,164.2363,Canadian
18783,Canadian,Canadian,North American,4.7195,547.1268,90.8155,16.2639,Canadian
18784,Canadian,Canadian,North American,35.7840,164.7104,4.6404,0.9088,Canadian
18785,Canadian,Canadian,North American,13.4347,680.6956,84.1532,29.6085,Canadian
18786,Canadian,Canadian,North American,187.9379,5639.0208,25.5105,536.2253,Canadian
18787,Canadian,Canadian,North American,68.9704,3862.6360,0.0000,410.0000,Canadian
18788,Canadian,Canadian,North American,328.2280,1681.2320,42.1090,17.8920,Canadian
142527,Canadian,Canadian,North American,141.0436,5638.4587,288.0466,432.2027,Canadian
142528,Canadian,Canadian,North American,63.5553,1802.4911,170.0940,94.0198,Canadian
142529,Canadian,Canadian,North American,149.1051,1487.7339,34.9868,89.4146,Canadian
142530,Canadian,Canadian,North American,259.7916,3296.8381,225.0424,152.3310,Canadian
142531,Canadian,Canadian,North American,613.0609,4339.3565,64.2833,191.0936,Canadian
142532,Canadian,Canadian,North American,413.4989,3364.2805,56.4727,178.0222,Canadian
142533,Canadian,Canadian,North American,260.4377,1460.8360,23.2890,38.7787,Canadian
142534,Canadian,Canadian,North American,496.7245,5334.9576,73.7172,353.3754,Canadian
142535,Canadian,Canadian,North American,663.2308,3462.1430,36.8012,76.1619,Canadian
142536,Canadian,Canadian,North American,59.7854,1988.3350,218.4803,93.8093,Canadian
142537,Canadian,Canadian,North American,9.4415,63.4400,1.4580,1.3614,Canadian
142538,Canadian,Canadian,North American,32.8562,869.2878,18.8888,77.9323,Canadian
142539,Canadian,Canadian,North American,306.0667,1295.6400,11.7625,6.3018,Canadian
142540,Canadian,Canadian,North American,495.5277,2531.6132,100.5258,11.9065,Canadian
142541,Canadian,Canadian,North American,10.8383,64.9967,5.2737,0.6993,Canadian
142542,Canadian,Canadian,North American,138.3073,1922.2776,166.9798,76.9032,Canadian
142543,Canadian,Canadian,North American,1288.3219,7163.2365,118.3771,194.9934,Canadian
142544,Canadian,Canadian,North American,18.1740,178.5562,3.8853,11.3760,Canadian
142545,Canadian,Canadian,North American,952.0562,3872.2420,19.9085,4.7840,Canadian
142546,Canadian,Canadian,North American,1011.7199,4734.4780,55.4689,65.4418,Canadian
142547,Canadian,Canadian,North American,948.1512,7931.6190,92.0774,479.4818,Canadian
142548,Canadian,Canadian,North American,440.0133,3357.5760,64.0491,162.6391,Canadian
142549,Canadian,Canadian,North American,64.3991,414.7850,16.9271,10.5884,Canadian
142550,Canadian,Canadian,North American,920.4323,3762.7625,12.0734,11.4775,Canadian
142551,Canadian,Canadian,North American,14.4501,268.8900,8.5314,21.7389,Canadian
142552,Canadian,Canadian,North American,,,,,Canadian
142553,Canadian,Canadian,North American,106.9782,2090.7782,45.9968,174.8395,Canadian
