Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
7980,Caribbean,Rest Caribbean,Latin American,912.2013,6176.1757,34.6307,289.9729,Caribbean
7981,Caribbean,Rest Caribbean,Latin American,39.4193,167.6465,3.8512,1.0933,Caribbean
7982,Caribbean,Rest Caribbean,Latin American,63.5130,260.2504,5.1201,1.6967,Caribbean
7983,Caribbean,Rest Caribbean,Latin American,34.1151,3679.4446,385.7178,215.8311,Caribbean
7984,Caribbean,Rest Caribbean,Latin American,301.4493,2212.8426,229.3021,19.0089,Caribbean
7985,Caribbean,Rest Caribbean,Latin American,69.5720,1584.4962,63.2237,125.7041,Caribbean
7986,Caribbean,Rest Caribbean,Latin American,161.8353,1185.6662,15.5235,57.2863,Caribbean
7987,Caribbean,Rest Caribbean,Latin American,26.0148,313.1975,14.5002,17.5188,Caribbean
7988,Caribbean,Rest Caribbean,Latin American,63.4900,894.0700,18.8923,68.1676,Caribbean
7989,Caribbean,Rest Caribbean,Latin American,70.0723,1363.4736,8.1121,120.6187,Caribbean
7990,Caribbean,Rest Caribbean,Latin American,179.2931,2210.1150,195.0076,76.4818,Caribbean
7991,Caribbean,Rest Caribbean,Latin American,18.8956,718.3482,0.8080,72.3567,Caribbean
7992,Caribbean,Rest Caribbean,Latin American,158.5115,20960.2493,468.7056,2056.3677,Caribbean
7993,Caribbean,Rest Caribbean,Latin American,23.5613,255.0350,39.6924,1.4950,Caribbean
7994,Caribbean,Rest Caribbean,Latin American,115.1581,834.0657,34.2714,29.6797,Caribbean
7995,Caribbean,Rest Caribbean,Latin American,52.1277,1170.7010,7.0315,111.1163,Caribbean
7996,Caribbean,Rest Caribbean,Latin American,34.2661,661.1600,12.8919,56.0872,Caribbean
7997,Caribbean,Rest Caribbean,Latin American,27.6642,1073.3400,59.3118,81.7602,Caribbean
7998,Caribbean,Rest Caribbean,Latin American,86.2722,929.6435,14.4740,63.7074,Caribbean
7999,Caribbean,Rest Caribbean,Latin American,78.0303,3040.9475,237.0922,193.0181,Caribbean
8000,Caribbean,Rest Caribbean,Latin American,180.4035,1068.3015,78.9792,8.4001,Caribbean
8001,Caribbean,Rest Caribbean,Latin American,1.5011,40.0440,7.4102,0.4231,Caribbean
8002,Caribbean,Rest Caribbean,Latin American,248.2007,1799.6628,91.8498,56.6675,Caribbean
8003,Caribbean,Rest Caribbean,Latin American,34.9585,1348.6180,112.5898,87.5233,Caribbean
8004,Caribbean,Rest Caribbean,Latin American,415.4525,2063.7011,46.4914,19.7768,Caribbean
8005,Caribbean,Rest Caribbean,Latin American,253.5600,4795.9740,327.5922,277.8212,Caribbean
8006,Caribbean,Rest Caribbean,Latin American,299.5510,6867.2663,28.5405,626.8539,Caribbean
8007,Caribbean,Rest Caribbean,Latin American,145.1723,998.3169,23.1097,37.2834,Caribbean
8008,Caribbean,Rest Caribbean,Latin American,82.6303,1433.2602,197.9052,34.7935,Caribbean
8009,Caribbean,Rest Caribbean,Latin American,210.0978,978.8647,15.8218,7.6260,Caribbean
8010,Caribbean,Rest Caribbean,Latin American,235.5832,2239.2174,58.9274,125.4019,Caribbean
8011,Caribbean,Rest Caribbean,Latin American,133.8802,561.0039,14.2393,2.6790,Caribbean
8012,Caribbean,Rest Caribbean,Latin American,11.6337,1111.4014,85.8973,77.9497,Caribbean
8013,Caribbean,Rest Caribbean,Latin American,27.8877,917.4452,181.0893,5.2785,Caribbean
8014,Caribbean,Rest Caribbean,Latin American,623.1834,5349.5291,451.0783,234.2081,Caribbean
8015,Caribbean,Rest Caribbean,Latin American,16.4181,428.2204,2.0528,40.6835,Caribbean
