Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
92701,Central American,Honduran,Latin American,,,,,Central American
92702,Central American,Honduran,Latin American,602.1337,4601.1383,104.8050,215.5194,Central American
92703,Central American,Honduran,Latin American,33.6821,140.4599,3.3772,1.0876,Central American
92704,Central American,Honduran,Latin American,620.9480,3243.9730,121.0821,33.7261,Central American
92705,Central American,Honduran,Latin American,22.7144,375.9550,29.6178,19.4698,Central American
92706,Central American,Honduran,Latin American,163.6125,1748.9055,198.0066,42.6189,Central American
92707,Central American,Honduran,Latin American,199.0032,1080.4379,68.0766,4.7299,Central American
92708,Central American,Honduran,Latin American,1.2502,6.6625,0.2085,0.1040,Central American
92709,Central American,Honduran,Latin American,466.6021,3151.6551,112.6914,96.0807,Central American
92710,Central American,Honduran,Latin American,599.4248,5992.4549,443.7968,210.2858,Central American
92711,Central American,Honduran,Latin American,234.9299,1425.4870,8.6511,58.6862,Central American
92712,Central American,Honduran,Latin American,114.5481,2223.3844,28.5182,199.5852,Central American
92713,Central American,Honduran,Latin American,501.8372,3084.2040,47.7460,100.0646,Central American
92714,Central American,Honduran,Latin American,0.0000,0.0000,0.0000,0.0000,Central American
92715,Central American,Honduran,Latin American,527.1875,2769.0620,36.2940,59.6932,Central American
92716,Central American,Honduran,Latin American,47.7721,16682.3820,382.9540,1660.9698,Central American
92717,Central American,Honduran,Latin American,215.7980,836.0000,0.2640,0.0000,Central American
92718,Central American,Honduran,Latin American,186.4887,970.2129,11.9892,29.4072,Central American
92719,Central American,Honduran,Latin American,17.9904,217.0290,6.7537,14.5967,Central American
92720,Central American,Honduran,Latin American,62.9297,549.3128,18.3112,31.0039,Central American
92721,Central American,Honduran,Latin American,63.9394,1482.9780,62.9052,113.5342,Central American
92722,Central American,Honduran,Latin American,178.8991,1429.9330,55.8606,57.3415,Central American
92723,Central American,Honduran,Latin American,32.9778,688.3100,5.4765,60.5080,Central American
92724,Central American,Honduran,Latin American,58.2000,1691.4037,8.8869,162.6131,Central American
92725,Central American,Honduran,Latin American,19.1673,251.0000,16.9292,15.7793,Central American
