Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
2886,Chinese and Mongolian,Chinese,Asian,39.6487,1885.5851,201.5459,98.4323,Chinese and Mongolian
2887,Chinese and Mongolian,Chinese,Asian,46.9278,6393.2694,144.4498,625.9935,Chinese and Mongolian
2888,Chinese and Mongolian,Chinese,Asian,132.4668,4176.5470,79.3766,369.5232,Chinese and Mongolian
2889,Chinese and Mongolian,Chinese,Asian,13.7397,1064.4600,1.1329,111.9502,Chinese and Mongolian
2890,Chinese and Mongolian,Chinese,Asian,77.0288,6326.6056,54.1959,654.7875,Chinese and Mongolian
2891,Chinese and Mongolian,Chinese,Asian,43.2831,1098.4359,102.4256,59.7232,Chinese and Mongolian
2892,Chinese and Mongolian,Chinese,Asian,316.9984,2349.5591,85.1343,78.7409,Chinese and Mongolian
2893,Chinese and Mongolian,Chinese,Asian,305.8884,1521.1620,29.7746,16.3438,Chinese and Mongolian
2894,Chinese and Mongolian,Chinese,Asian,33.4643,1160.6255,90.2296,72.6435,Chinese and Mongolian
2895,Chinese and Mongolian,Chinese,Asian,12.6863,401.0840,9.1378,35.9796,Chinese and Mongolian
2896,Chinese and Mongolian,Chinese,Asian,372.5698,5890.0580,109.6318,442.5668,Chinese and Mongolian
2897,Chinese and Mongolian,Chinese,Asian,24.9922,2292.5421,365.3462,70.1299,Chinese and Mongolian
2898,Chinese and Mongolian,Chinese,Asian,14.3807,866.5920,0.8843,90.4243,Chinese and Mongolian
2899,Chinese and Mongolian,Chinese,Asian,318.0959,1711.4650,39.9363,28.4144,Chinese and Mongolian
2900,Chinese and Mongolian,Chinese,Asian,119.2697,2969.4510,64.3295,249.0684,Chinese and Mongolian
2901,Chinese and Mongolian,Chinese,Asian,27.9684,1260.5083,121.4799,73.2112,Chinese and Mongolian
2902,Chinese and Mongolian,Chinese,Asian,12.3813,225.0295,10.9700,15.2928,Chinese and Mongolian
2903,Chinese and Mongolian,Chinese,Asian,16.2805,623.6479,40.2978,45.4667,Chinese and Mongolian
2904,Chinese and Mongolian,Chinese,Asian,170.2176,2373.2361,110.5326,138.8180,Chinese and Mongolian
2905,Chinese and Mongolian,Chinese,Asian,54.9740,1805.5669,186.4901,94.3325,Chinese and Mongolian
2906,Chinese and Mongolian,Chinese,Asian,365.9297,2879.6388,47.0589,132.0137,Chinese and Mongolian
2907,Chinese and Mongolian,Chinese,Asian,53.9542,445.2150,2.2973,27.5125,Chinese and Mongolian
2908,Chinese and Mongolian,Chinese,Asian,143.2650,1262.5716,111.1846,30.9525,Chinese and Mongolian
2909,Chinese and Mongolian,Chinese,Asian,488.2362,2241.1038,39.5754,8.0139,Chinese and Mongolian
2910,Chinese and Mongolian,Chinese,Asian,61.0276,1185.0630,75.2466,73.3614,Chinese and Mongolian
