Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
9221,Deutschland ,Austrian,European,416.7896,4397.5240,24.6829,310.9650,Deutschland 
9222,Deutschland ,Austrian,European,132.5496,2422.5827,24.0707,207.4476,Deutschland 
9223,Deutschland ,Austrian,European,237.0173,1498.9960,21.6705,57.6585,Deutschland 
9224,Deutschland ,Austrian,European,129.5093,3071.3400,42.7440,278.7000,Deutschland 
9225,Deutschland ,Austrian,European,552.4330,4504.1050,135.7351,203.1615,Deutschland 
9226,Deutschland ,Austrian,European,415.1999,3638.2000,81.4901,208.4528,Deutschland 
9227,Deutschland ,Austrian,European,189.8496,2147.2920,42.7490,147.2210,Deutschland 
9228,Deutschland ,Austrian,European,27.8595,3078.9000,24.9805,327.6550,Deutschland 
9229,Deutschland ,Austrian,European,410.7338,2643.6696,51.9212,102.3393,Deutschland 
9230,Deutschland ,Austrian,European,36.5061,2205.3617,29.5252,222.5258,Deutschland 
9231,Deutschland ,Austrian,European,346.6638,2230.7600,102.4027,49.9375,Deutschland 
9232,Deutschland ,Austrian,European,164.5805,5848.6110,1111.8759,50.2545,Deutschland 
9233,Deutschland ,Austrian,European,1.9406,5070.2800,17.9524,563.5336,Deutschland 
9234,Deutschland ,Austrian,European,43.8298,1084.2220,30.1878,88.2408,Deutschland 
9235,Deutschland ,Austrian,European,465.9472,2215.0700,24.3420,42.2438,Deutschland 
9236,Deutschland ,Austrian,European,247.6340,3317.5592,38.3537,254.6891,Deutschland 
9237,Deutschland ,Austrian,European,210.7233,1478.2900,55.8679,44.9978,Deutschland 
9238,Deutschland ,Austrian,European,104.3778,1001.4630,45.8287,46.3449,Deutschland 
9239,Deutschland ,Austrian,European,207.1426,1979.7740,13.0658,126.9389,Deutschland 
9240,Deutschland ,Austrian,European,261.0728,2044.0567,39.0502,104.8211,Deutschland 
9241,Deutschland ,Austrian,European,133.4769,5922.9475,2.4119,611.6496,Deutschland 
9242,Deutschland ,Austrian,European,266.0137,1529.3500,54.5515,24.1309,Deutschland 
9243,Deutschland ,Austrian,European,45.2664,1856.3903,364.5064,10.1675,Deutschland 
