Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
8517,Eastern European,Russian,European,68.5543,927.3053,6.0016,74.3556,Eastern European
8518,Eastern European,Russian,European,172.2201,2090.0923,12.5210,156.0737,Eastern European
8519,Eastern European,Russian,European,83.6448,1841.6911,215.9195,69.3004,Eastern European
8520,Eastern European,Russian,European,15.2948,165.9850,24.2178,0.7389,Eastern European
8521,Eastern European,Russian,European,20.9327,481.9762,28.5138,31.3666,Eastern European
8522,Eastern European,Russian,European,29.5526,1077.9896,94.6349,63.5525,Eastern European
8523,Eastern European,Russian,European,28.7400,3219.9179,464.6610,130.1434,Eastern European
8524,Eastern European,Russian,European,2.9754,121.7100,0.6834,12.0450,Eastern European
8525,Eastern European,Russian,European,148.4408,1882.1185,62.8225,118.8092,Eastern European
8526,Eastern European,Russian,European,47.1366,4529.3738,597.8154,203.4622,Eastern European
8527,Eastern European,Russian,European,520.6798,3047.6589,152.7631,51.0218,Eastern European
8528,Eastern European,Russian,European,43.2175,558.3200,6.4646,41.5060,Eastern European
8529,Eastern European,Russian,European,26.2724,589.8400,2.8404,54.4572,Eastern European
8530,Eastern European,Russian,European,361.2731,3988.4436,325.8393,128.5438,Eastern European
8531,Eastern European,Russian,European,64.3557,697.7496,16.2330,46.7623,Eastern European
8532,Eastern European,Russian,European,80.7398,771.5198,17.1207,47.8041,Eastern European
8533,Eastern European,Russian,European,51.0821,1428.5620,26.9134,133.7490,Eastern European
8534,Eastern European,Russian,European,14.8682,2307.7700,54.6236,224.9932,Eastern European
8535,Eastern European,Russian,European,162.0660,819.0000,23.4400,8.5800,Eastern European
8536,Eastern European,Russian,European,118.4676,2351.2900,92.5615,175.2849,Eastern European
8537,Eastern European,Russian,European,105.1661,509.4632,16.3894,7.4071,Eastern European
8538,Eastern European,Russian,European,131.1892,1295.1208,50.0640,67.1609,Eastern European
8539,Eastern European,Russian,European,461.7540,2361.7290,67.8792,41.7062,Eastern European
8540,Eastern European,Russian,European,25.0359,820.3171,30.9664,66.0511,Eastern European
8541,Eastern European,Russian,European,126.6986,1655.0993,19.2710,125.5818,Eastern European
8542,Eastern European,Russian,European,14.9705,1161.2280,15.1813,115.9900,Eastern European
8543,Eastern European,Russian,European,63.3873,2825.4360,42.7465,278.7025,Eastern European
8544,Eastern European,Russian,European,1.4400,286.0000,25.1200,19.0200,Eastern European
8545,Eastern European,Russian,European,51.8267,1034.8589,48.0559,74.3354,Eastern European
8546,Eastern European,Russian,European,1304.0154,6309.7300,41.7176,164.8050,Eastern European
8547,Eastern European,Russian,European,64.1882,690.9482,14.2407,45.9873,Eastern European
8548,Eastern European,Russian,European,84.8981,3544.1502,80.7962,321.2499,Eastern European
8549,Eastern European,Russian,European,41.3481,602.1091,18.5345,41.9019,Eastern European
8550,Eastern European,Russian,European,137.3878,1556.4775,18.6769,112.0339,Eastern European
8551,Eastern European,Russian,European,224.8981,2127.1710,11.4800,138.0336,Eastern European
8552,Eastern European,Russian,European,114.9340,478.0425,13.9928,1.5216,Eastern European
8553,Eastern European,Russian,European,9.6255,1182.5335,4.9788,125.9589,Eastern European
8554,Eastern European,Russian,European,58.2650,952.4682,91.5088,38.1657,Eastern European
8555,Eastern European,Russian,European,445.4802,2328.1440,60.7279,54.2484,Eastern European
8556,Eastern European,Russian,European,24.8759,381.6052,16.2576,24.6576,Eastern European
8557,Eastern European,Russian,European,139.0241,1358.4922,162.4287,19.2741,Eastern European
8558,Eastern European,Russian,European,46.4040,766.5940,34.4465,50.2570,Eastern European
8559,Eastern European,Russian,European,186.1604,1501.1239,125.8252,37.6715,Eastern European
8560,Eastern European,Russian,European,84.1341,5784.5401,242.7308,512.1450,Eastern European
8561,Eastern European,Russian,European,33.4099,422.8369,6.0170,32.5784,Eastern European
8562,Eastern European,Russian,European,56.3625,1794.6340,171.6151,97.0222,Eastern European
8563,Eastern European,Russian,European,53.6243,1488.8600,49.6245,121.1040,Eastern European
8564,Eastern European,Russian,European,152.8757,856.3500,25.7312,15.7093,Eastern European
8565,Eastern European,Russian,European,23.1193,1086.8978,29.0933,98.6998,Eastern European
8566,Eastern European,Russian,European,14.2065,380.7007,11.4721,33.2927,Eastern European
