Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
9648,French,French,European,228.1597,3322.6512,56.8670,245.4157,French
9649,French,French,European,122.9626,3930.4011,304.2745,255.5546,French
9650,French,French,European,102.9448,1989.3845,32.8521,161.8698,French
9651,French,French,European,93.0469,1551.8427,32.9387,118.3494,French
9652,French,French,European,293.1903,2734.2101,26.7639,166.7028,French
9653,French,French,European,152.6727,945.2670,31.4013,23.7763,French
9654,French,French,European,88.1691,1365.0500,35.3023,102.9751,French
9655,French,French,European,188.6543,2683.4007,32.8010,213.5977,French
9656,French,French,European,89.3907,6328.6501,1283.1739,53.9822,French
9657,French,French,European,204.4552,1670.4160,27.8492,86.9375,French
9658,French,French,European,579.3933,5133.0960,142.0105,273.1975,French
9659,French,French,European,102.7782,847.2092,37.1436,32.6400,French
9660,French,French,European,,,,,French
9661,French,French,European,32.7321,833.6575,33.9333,67.1113,French
9662,French,French,European,60.6801,1307.3920,20.3020,109.1560,French
9663,French,French,European,223.4995,1851.9000,1.6518,109.5958,French
9664,French,French,European,58.6031,461.5220,17.1797,18.3308,French
9665,French,French,European,79.7715,753.9570,25.9860,43.9414,French
9666,French,French,European,518.9332,3551.0787,47.2525,152.1580,French
9667,French,French,European,106.5353,903.8520,24.2708,40.6112,French
9668,French,French,European,530.7775,5004.0659,156.3047,272.5433,French
9669,French,French,European,120.7983,489.3600,5.6232,1.7220,French
9670,French,French,European,79.4368,1879.6292,125.5123,119.5968,French
9671,French,French,European,328.4563,2232.2950,6.0693,108.8730,French
9672,French,French,European,220.6521,2731.0455,23.4977,202.2335,French
9673,French,French,European,58.9282,1185.8160,14.9071,100.1299,French
9674,French,French,European,9.2828,1141.8747,40.0421,105.2072,French
9675,French,French,European,139.5583,1254.6280,46.9953,59.0039,French
9676,French,French,European,37.5252,764.4680,25.2163,61.5907,French
9677,French,French,European,207.4726,1188.1012,37.8359,26.1435,French
9678,French,French,European,7.8491,375.6690,13.3470,32.6403,French
9679,French,French,European,483.7007,2411.4933,26.5540,59.9436,French
9680,French,French,European,437.6492,3257.0562,35.4299,171.1609,French
9681,French,French,European,137.0915,1744.5360,53.0057,119.8929,French
9682,French,French,European,148.6001,718.7975,7.5209,15.4283,French
9683,French,French,European,155.3011,1716.4747,47.1554,110.2020,French
9684,French,French,European,200.6827,1065.9280,10.7910,27.3683,French
9685,French,French,European,172.5729,1642.5120,44.2829,86.5234,French
9686,French,French,European,64.4683,812.0160,11.5099,56.8339,French
9687,French,French,European,115.7890,2073.1120,31.7986,165.9874,French
9688,French,French,European,126.4983,1998.3560,45.8869,146.5037,French
9689,French,French,European,171.7398,1223.8840,28.6175,50.0256,French
9690,French,French,European,43.0441,721.5300,11.4972,56.8320,French
9691,French,French,European,226.6116,3350.7967,21.5040,275.8273,French
9692,French,French,European,98.3469,948.0480,21.3733,57.6013,French
9693,French,French,European,289.4882,2444.7442,23.7876,139.0938,French
9694,French,French,European,257.0007,4379.8587,87.3286,348.4594,French
9695,French,French,European,109.1329,1303.8612,14.0520,92.2963,French
9696,French,French,European,68.0703,287.8698,1.6624,1.9639,French
9697,French,French,European,50.7127,2172.1000,10.7910,218.1683,French
9698,French,French,European,33.8157,712.3440,11.3436,59.9004,French
9699,French,French,European,76.3076,2271.1720,10.7910,218.1683,French
9700,French,French,European,105.3885,1715.4600,24.7201,135.3121,French
9701,French,French,European,45.7311,1024.8100,46.4933,76.6213,French
9702,French,French,European,119.0861,836.8560,30.3715,26.2357,French
9703,French,French,European,58.5438,515.7360,18.2141,22.2823,French
9704,French,French,European,444.4663,1728.6824,4.1912,1.1446,French
9705,French,French,European,166.3450,1632.2163,21.7410,100.0792,French
9706,French,French,European,233.6092,1486.6107,50.3978,43.4667,French
9707,French,French,European,147.7321,1530.8600,25.1322,96.0042,French
9708,French,French,European,373.6721,35386.1427,146.8803,3784.6926,French
9709,French,French,European,245.8653,1195.4400,10.7337,22.7742,French
9710,French,French,European,136.8562,1226.1240,34.8383,64.9721,French
9711,French,French,European,103.4885,858.6720,26.5846,39.9759,French
9712,French,French,European,40.5066,2291.9720,53.3130,217.7170,French
9713,French,French,European,60.5944,1116.9840,51.0615,79.4053,French
9714,French,French,European,8.5862,1907.4700,37.4562,192.6739,French
9715,French,French,European,433.9696,5223.9389,37.4505,387.7659,French
9716,French,French,European,213.8448,1204.1760,29.2247,26.7581,French
9717,French,French,European,223.6559,964.0450,9.2715,7.7322,French
