Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
9251,Greek,Greek,European,,,,,Greek
9252,Greek,Greek,European,23.6779,996.4490,57.7145,74.2698,Greek
9253,Greek,Greek,European,6.5515,861.3354,53.6894,67.2898,Greek
9254,Greek,Greek,European,34.9880,526.2499,26.3694,32.9161,Greek
9255,Greek,Greek,European,401.0251,2508.4963,128.6451,50.4244,Greek
9256,Greek,Greek,European,3.0675,1152.7200,10.6575,123.9600,Greek
9257,Greek,Greek,European,30.6384,1252.6080,33.7567,117.8211,Greek
9258,Greek,Greek,European,1.8990,10.8000,0.8910,0.2370,Greek
9259,Greek,Greek,European,30.7894,261.1370,2.1135,14.1701,Greek
9260,Greek,Greek,European,16.3936,357.0692,17.7898,24.3120,Greek
9261,Greek,Greek,European,43.0323,207.1525,8.9119,1.9000,Greek
9262,Greek,Greek,European,51.0279,768.7063,58.5609,37.2279,Greek
9263,Greek,Greek,European,6.1350,396.0000,21.3150,31.9200,Greek
9264,Greek,Greek,European,25.7962,1157.9400,55.6545,94.2671,Greek
9265,Greek,Greek,European,0.9584,41.5400,1.9296,3.4745,Greek
9266,Greek,Greek,European,33.6479,529.2730,28.1627,35.5019,Greek
9267,Greek,Greek,European,181.6248,2149.2565,47.0142,135.6477,Greek
9268,Greek,Greek,European,38.1983,296.4749,14.4508,12.1975,Greek
9269,Greek,Greek,European,871.2491,4322.5052,103.6306,61.8053,Greek
9270,Greek,Greek,European,59.0154,948.4320,22.0355,74.2775,Greek
9271,Greek,Greek,European,,,,,Greek
9272,Greek,Greek,European,189.9222,2037.4533,65.7029,115.7498,Greek
9273,Greek,Greek,European,185.5390,2164.2265,47.1699,135.7048,Greek
9274,Greek,Greek,European,18.5084,1828.3905,142.9059,129.1391,Greek
9275,Greek,Greek,European,92.8083,2509.3819,80.6141,204.7870,Greek
9276,Greek,Greek,European,32.6033,750.3367,25.9738,60.0092,Greek
9277,Greek,Greek,European,5.1899,116.0308,6.3629,8.2017,Greek
9278,Greek,Greek,European,46.5233,493.9519,19.4269,30.4187,Greek
9279,Greek,Greek,European,100.2664,940.9240,20.7239,57.2221,Greek
9280,Greek,Greek,European,239.6932,2497.9849,272.9814,56.3721,Greek
9281,Greek,Greek,European,37.9184,708.5824,18.3064,57.8968,Greek
9282,Greek,Greek,European,13.8356,1258.6261,149.3083,62.9659,Greek
9283,Greek,Greek,European,10.7824,855.7133,66.7600,60.1739,Greek
9284,Greek,Greek,European,97.5862,2962.7911,60.3787,270.0806,Greek
9285,Greek,Greek,European,32.3966,1608.1775,9.8479,166.6024,Greek
9286,Greek,Greek,European,190.6265,1468.7634,52.9761,57.4005,Greek
9287,Greek,Greek,European,12.4085,1277.1000,29.6348,124.9531,Greek
9288,Greek,Greek,European,18.7883,274.3099,13.6190,16.5368,Greek
9289,Greek,Greek,European,201.4292,1374.0178,73.3097,34.2689,Greek
9290,Greek,Greek,European,22.0316,129.2800,2.1004,4.4296,Greek
9291,Greek,Greek,European,12.4273,476.2438,60.7884,20.1669,Greek
9292,Greek,Greek,European,40.1987,1492.3067,40.6307,136.2532,Greek
9293,Greek,Greek,European,43.4354,666.4543,7.7617,56.2346,Greek
9294,Greek,Greek,European,37.7205,853.5750,69.6354,47.6588,Greek
9295,Greek,Greek,European,12.4472,293.4402,14.1406,22.1489,Greek
9296,Greek,Greek,European,8.2387,563.6566,12.2456,54.4019,Greek
9297,Greek,Greek,European,13.6590,186.4400,6.1580,12.1416,Greek
9298,Greek,Greek,European,5.6426,694.8480,33.3299,59.1394,Greek
9299,Greek,Greek,European,16.5619,850.2976,112.1234,34.4727,Greek
9300,Greek,Greek,European,7.5454,41.1060,2.4490,0.6374,Greek
9301,Greek,Greek,European,10.3340,831.9875,2.4441,81.5313,Greek
9302,Greek,Greek,European,211.0204,1647.8483,80.9975,57.5721,Greek
9303,Greek,Greek,European,42.6726,1274.5183,27.3868,114.2383,Greek
9304,Greek,Greek,European,20.3280,1215.2824,14.0499,125.8027,Greek
9305,Greek,Greek,European,84.1048,2289.3797,93.7864,193.6788,Greek
9306,Greek,Greek,European,220.4647,2321.7551,72.1059,130.1011,Greek
9307,Greek,Greek,European,19.1530,231.3783,9.1111,13.6203,Greek
9308,Greek,Greek,European,21.4402,960.8972,36.9137,83.8890,Greek
9309,Greek,Greek,European,4.6947,282.5566,17.1072,21.8180,Greek
9310,Greek,Greek,European,20.4628,183.0800,8.7116,8.6092,Greek
9311,Greek,Greek,European,168.4085,1982.6660,32.6345,134.6716,Greek
9312,Greek,Greek,European,2.0450,1086.7200,7.1050,118.6400,Greek
9313,Greek,Greek,European,28.3529,687.6800,35.9266,48.7184,Greek
9314,Greek,Greek,European,84.8852,2034.9100,131.3383,137.4670,Greek
9315,Greek,Greek,European,17.5116,2061.9326,382.4136,41.5270,Greek
9316,Greek,Greek,European,243.2265,2225.4083,55.1128,128.5315,Greek
9317,Greek,Greek,European,105.2025,3491.9320,46.5101,341.3950,Greek
9318,Greek,Greek,European,70.1729,874.3470,42.6263,50.3964,Greek
9319,Greek,Greek,European,166.5920,1873.5867,53.1531,131.0625,Greek
9320,Greek,Greek,European,121.9390,1336.7170,24.4842,86.7513,Greek
9321,Greek,Greek,European,145.2397,6498.5503,43.1958,659.3362,Greek
9322,Greek,Greek,European,480.1999,3983.8510,88.1634,206.2454,Greek
9323,Greek,Greek,European,82.8580,1163.5000,46.4920,76.6200,Greek
9324,Greek,Greek,European,63.4663,1422.7400,45.4402,119.7118,Greek
9325,Greek,Greek,European,470.4889,2669.4600,54.0766,71.3217,Greek
9326,Greek,Greek,European,110.1985,1430.1680,17.7374,105.8932,Greek
9327,Greek,Greek,European,250.8375,6516.0838,64.5661,609.0239,Greek
9328,Greek,Greek,European,506.1900,5064.5688,80.5984,314.7233,Greek
9329,Greek,Greek,European,203.8699,3792.0453,52.8673,320.6759,Greek
