Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
3697,Indian Subcontinent,Bangladeshi,Asian,73.0541,467.3300,11.3443,18.5846,Indian Subcontinent
3698,Indian Subcontinent,Bangladeshi,Asian,23.4109,1044.5580,184.9341,20.5982,Indian Subcontinent
3699,Indian Subcontinent,Bangladeshi,Asian,62.6162,1055.9307,48.2127,72.3123,Indian Subcontinent
3700,Indian Subcontinent,Bangladeshi,Asian,32.0231,2744.3132,162.9758,220.6399,Indian Subcontinent
3701,Indian Subcontinent,Bangladeshi,Asian,48.5301,1356.6500,96.7123,86.7326,Indian Subcontinent
3702,Indian Subcontinent,Bangladeshi,Asian,39.7317,793.6081,96.8364,30.3484,Indian Subcontinent
3703,Indian Subcontinent,Bangladeshi,Asian,402.0604,5328.2468,1.1753,437.0649,Indian Subcontinent
3704,Indian Subcontinent,Bangladeshi,Asian,36.5283,1290.7146,98.2471,87.9372,Indian Subcontinent
3705,Indian Subcontinent,Bangladeshi,Asian,19.2274,1511.7075,159.9260,92.5937,Indian Subcontinent
3706,Indian Subcontinent,Bangladeshi,Asian,39.1711,2049.5843,365.2064,39.9490,Indian Subcontinent
3707,Indian Subcontinent,Bangladeshi,Asian,225.8984,1807.8050,86.3478,72.0410,Indian Subcontinent
3708,Indian Subcontinent,Bangladeshi,Asian,274.2556,1959.5162,82.9398,59.2364,Indian Subcontinent
3709,Indian Subcontinent,Bangladeshi,Asian,33.6647,1768.2682,196.3510,97.5494,Indian Subcontinent
3710,Indian Subcontinent,Bangladeshi,Asian,101.5872,2269.6339,199.9117,121.6541,Indian Subcontinent
3711,Indian Subcontinent,Bangladeshi,Asian,141.1437,891.6120,48.6182,18.0456,Indian Subcontinent
3712,Indian Subcontinent,Bangladeshi,Asian,47.5523,455.4990,7.8400,29.2259,Indian Subcontinent
4003,Indian Subcontinent,Indian,Asian,142.3281,1051.3810,30.8678,43.2530,Indian Subcontinent
4004,Indian Subcontinent,Indian,Asian,21.8836,337.5776,2.8364,28.7133,Indian Subcontinent
4005,Indian Subcontinent,Indian,Asian,86.8653,384.8108,3.8022,6.7169,Indian Subcontinent
4006,Indian Subcontinent,Indian,Asian,38.2692,1500.4365,274.1708,21.4072,Indian Subcontinent
4007,Indian Subcontinent,Indian,Asian,38.0677,1027.3007,26.8237,91.0685,Indian Subcontinent
4008,Indian Subcontinent,Indian,Asian,90.8701,782.9698,26.3777,38.1247,Indian Subcontinent
4009,Indian Subcontinent,Indian,Asian,211.3346,1721.9473,74.4014,63.6616,Indian Subcontinent
4010,Indian Subcontinent,Indian,Asian,29.7590,758.4907,4.7485,73.7463,Indian Subcontinent
4011,Indian Subcontinent,Indian,Asian,150.3461,685.8783,13.6425,1.4504,Indian Subcontinent
4012,Indian Subcontinent,Indian,Asian,7.0855,37.1265,2.4219,0.8130,Indian Subcontinent
