Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
12911,Irish,Irish,European,136.0704,3541.1652,264.1014,213.7716,Irish
12912,Irish,Irish,European,211.5095,4311.7068,207.9622,292.2138,Irish
12913,Irish,Irish,European,102.1285,955.2423,109.7189,14.6997,Irish
12914,Irish,Irish,European,12.1868,49.7865,0.5273,0.3688,Irish
12915,Irish,Irish,European,27.5875,3971.8608,390.8260,245.4869,Irish
12916,Irish,Irish,European,4.9162,25.4040,0.4725,0.4905,Irish
12917,Irish,Irish,European,102.1765,659.8500,33.9411,13.7910,Irish
12918,Irish,Irish,European,241.2850,1698.4400,37.7788,71.1032,Irish
12919,Irish,Irish,European,202.0515,2212.0040,6.4418,158.7930,Irish
12920,Irish,Irish,European,243.4323,1738.7385,94.5437,48.6012,Irish
12921,Irish,Irish,European,0.0000,119.3400,0.0000,13.5000,Irish
12922,Irish,Irish,European,298.8376,1562.0092,47.0239,37.5194,Irish
12923,Irish,Irish,European,2.9158,37.2100,1.9215,1.9947,Irish
12924,Irish,Irish,European,71.1742,3649.9168,456.6155,159.6765,Irish
12925,Irish,Irish,European,27.7213,2681.0388,428.3022,97.7538,Irish
12926,Irish,Irish,European,559.2350,3940.9240,54.2260,187.9653,Irish
12927,Irish,Irish,European,24.3020,1450.0862,30.4879,143.3421,Irish
12928,Irish,Irish,European,139.3270,1102.0000,21.5040,57.6000,Irish
12929,Irish,Irish,European,103.6031,810.3150,28.5259,33.6900,Irish
12930,Irish,Irish,European,151.1970,604.4850,0.0000,0.0000,Irish
12931,Irish,Irish,European,56.7370,1552.1257,190.2596,59.0622,Irish
12932,Irish,Irish,European,81.3625,2080.8040,320.2547,48.0823,Irish
12933,Irish,Irish,European,20.7427,273.4900,7.5308,15.3158,Irish
12934,Irish,Irish,European,36.0947,2298.0046,196.8457,151.5592,Irish
12935,Irish,Irish,European,7.9375,176.6620,5.3549,14.4000,Irish
12936,Irish,Irish,European,275.5970,1227.5875,23.2819,11.7392,Irish
12937,Irish,Irish,European,163.6233,2399.2226,235.1225,92.8130,Irish
12938,Irish,Irish,European,0.8562,3023.3633,14.4895,338.9630,Irish
12939,Irish,Irish,European,216.0995,1658.4400,6.9558,86.5998,Irish
12940,Irish,Irish,European,77.5572,985.2930,34.6802,66.1826,Irish
12941,Irish,Irish,European,282.4126,1703.7640,36.0422,63.4935,Irish
12942,Irish,Irish,European,247.6778,2085.1200,91.1970,86.8204,Irish
12943,Irish,Irish,European,40.5435,756.6100,11.2360,62.5335,Irish
12944,Irish,Irish,European,436.0660,2546.5940,82.9994,52.4168,Irish
12945,Irish,Irish,European,10.0810,951.9592,53.7620,78.5201,Irish
12946,Irish,Irish,European,479.9373,2871.3240,32.5041,112.6041,Irish
12947,Irish,Irish,European,334.7964,1491.6760,24.4335,15.0240,Irish
12948,Irish,Irish,European,360.0960,2220.4400,34.4515,83.5740,Irish
12949,Irish,Irish,European,250.1737,2595.3907,300.6137,43.1957,Irish
12950,Irish,Irish,European,211.3036,1968.3920,12.6814,128.8948,Irish
12951,Irish,Irish,European,348.3936,1342.8600,7.1615,1.2182,Irish
12952,Irish,Irish,European,299.0255,2229.2800,195.0937,40.1398,Irish
12953,Irish,Irish,European,27.4850,1496.5862,15.1329,155.5251,Irish
12954,Irish,Irish,European,311.0358,1812.4687,37.2625,63.6591,Irish
12955,Irish,Irish,European,0.0000,0.0000,0.0000,0.0000,Irish
12956,Irish,Irish,European,299.0960,2619.3450,197.4775,69.7137,Irish
12957,Irish,Irish,European,94.1831,773.3232,41.8370,28.1909,Irish
12958,Irish,Irish,European,172.1957,806.3370,16.6814,10.8670,Irish
12959,Irish,Irish,European,150.7662,1109.5890,32.5643,45.2975,Irish
12960,Irish,Irish,European,351.1446,1578.8660,26.5672,18.2082,Irish
12961,Irish,Irish,European,201.8047,2297.8890,83.7333,131.6515,Irish
12962,Irish,Irish,European,191.4187,1378.2730,28.8512,62.8910,Irish
12963,Irish,Irish,European,66.6381,1525.6822,177.9963,58.3893,Irish
12964,Irish,Irish,European,10.3484,216.8050,5.6478,15.9976,Irish
12965,Irish,Irish,European,48.2200,523.1272,11.4947,33.2043,Irish
12966,Irish,Irish,European,501.9527,3253.5800,68.5316,138.1905,Irish
12967,Irish,Irish,European,11.7097,149.8900,7.6860,7.9788,Irish
12968,Irish,Irish,European,113.0263,6205.9655,319.6688,499.2197,Irish
12969,Irish,Irish,European,79.8683,823.7347,30.5188,44.3721,Irish
12970,Irish,Irish,European,708.8107,5332.4715,189.0454,211.9488,Irish
12971,Irish,Irish,European,481.4180,4661.4299,221.4864,211.5030,Irish
12972,Irish,Irish,European,77.2149,2718.6522,159.7944,199.0848,Irish
12973,Irish,Irish,European,255.3898,1262.2125,17.7099,30.5500,Irish
12974,Irish,Irish,European,19.2672,515.6900,21.1641,43.4389,Irish
12975,Irish,Irish,European,228.2239,2153.7960,34.5247,125.6335,Irish
12976,Irish,Irish,European,215.7980,3648.3200,376.2077,133.7213,Irish
12977,Irish,Irish,European,15.9373,386.5590,21.2833,26.3207,Irish
12978,Irish,Irish,European,31.4280,684.0000,21.3720,57.6000,Irish
12979,Irish,Irish,European,0.0000,119.3400,0.0000,13.5000,Irish
12980,Irish,Irish,European,71.3017,1426.8940,17.9812,124.3590,Irish
12981,Irish,Irish,European,696.8553,4815.0960,101.7985,201.3325,Irish
12982,Irish,Irish,European,184.8208,1108.9731,32.2993,31.2405,Irish
12983,Irish,Irish,European,270.6235,2035.1614,76.4805,75.7243,Irish
12984,Irish,Irish,European,67.5965,2342.7282,172.1276,151.0181,Irish
12985,Irish,Irish,European,39.6074,288.9900,12.9197,10.2694,Irish
12986,Irish,Irish,European,153.7944,1046.2633,43.0767,38.6696,Irish
12987,Irish,Irish,European,124.5679,859.7665,20.9250,36.7222,Irish
12988,Irish,Irish,European,9.8064,254.1050,29.7111,10.3492,Irish
12989,Irish,Irish,European,214.4813,4344.5439,753.7557,35.3713,Irish
12990,Irish,Irish,European,73.7061,1867.0257,295.3039,37.3359,Irish
12991,Irish,Irish,European,311.2784,1535.5635,5.4220,35.8105,Irish
12992,Irish,Irish,European,232.0743,1859.8050,38.1826,96.1455,Irish
12993,Irish,Irish,European,17.3052,792.4542,100.7308,35.6169,Irish
12994,Irish,Irish,European,161.1283,10608.4127,576.0306,853.1849,Irish
12995,Irish,Irish,European,29.9811,1326.9449,217.1763,39.2097,Irish
12996,Irish,Irish,European,102.0628,3019.9331,113.4511,240.0723,Irish
12997,Irish,Irish,European,3.9285,85.5000,2.6715,7.2000,Irish
12998,Irish,Irish,European,32.0276,688.0054,21.7847,57.7061,Irish
12999,Irish,Irish,European,85.3409,2920.1082,203.1971,193.3001,Irish
13000,Irish,Irish,European,5.6576,1843.1400,55.7804,175.4298,Irish
13001,Irish,Irish,European,223.7070,1496.7960,34.3443,65.1855,Irish
13002,Irish,Irish,European,409.9365,2488.4255,52.2958,94.1672,Irish
13003,Irish,Irish,European,9.6330,307.8575,5.0675,29.0171,Irish
