Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
10218,Italian,Italian,European,21.7899,780.5446,118.6319,21.8885,Italian
10219,Italian,Italian,European,182.5963,1378.9608,63.3876,52.7007,Italian
10220,Italian,Italian,European,111.9790,890.7560,61.6932,24.7519,Italian
10221,Italian,Italian,European,70.5865,1054.1388,145.5751,20.5843,Italian
10222,Italian,Italian,European,52.5794,512.6146,18.9595,30.6928,Italian
10223,Italian,Italian,European,44.5156,993.1694,106.7623,44.5284,Italian
10224,Italian,Italian,European,58.2277,895.4826,74.2353,39.1974,Italian
10225,Italian,Italian,European,297.3970,1933.1832,101.3911,44.6349,Italian
10226,Italian,Italian,European,235.3983,1392.0312,68.1420,27.3602,Italian
10227,Italian,Italian,European,51.2412,475.3670,20.7414,21.4605,Italian
10228,Italian,Italian,European,139.9206,3456.9745,396.4838,157.6105,Italian
10229,Italian,Italian,European,119.4169,1733.5412,64.1549,116.9653,Italian
10230,Italian,Italian,European,62.4856,279.6036,12.1997,2.1408,Italian
10231,Italian,Italian,European,410.7098,2219.0769,140.6127,8.6764,Italian
10232,Italian,Italian,European,54.1997,1234.4676,59.8704,85.6442,Italian
10233,Italian,Italian,European,423.1670,2565.7876,206.8360,9.8401,Italian
10234,Italian,Italian,European,564.3378,3532.6985,171.8894,74.5891,Italian
10235,Italian,Italian,European,137.6414,1112.1458,125.6320,8.3854,Italian
10236,Italian,Italian,European,261.3032,1835.7480,125.4196,34.4815,Italian
10237,Italian,Italian,European,34.3075,979.2098,110.6873,45.3242,Italian
10238,Italian,Italian,European,243.9650,1302.1322,47.1577,22.1358,Italian
10239,Italian,Italian,European,39.0113,1332.5492,54.1417,107.9336,Italian
10240,Italian,Italian,European,159.5024,682.8430,17.6440,3.8730,Italian
10241,Italian,Italian,European,69.6107,329.7567,15.5995,1.4206,Italian
10242,Italian,Italian,European,51.3827,556.3602,10.5562,36.3504,Italian
10243,Italian,Italian,European,456.5711,3012.0069,199.9137,49.3096,Italian
10244,Italian,Italian,European,74.4391,1820.3071,236.9991,62.2174,Italian
10245,Italian,Italian,European,81.9777,3152.9962,180.2436,231.4066,Italian
10246,Italian,Italian,European,8.3480,134.9000,17.9180,2.9140,Italian
10247,Italian,Italian,European,240.6492,2933.0013,143.1140,159.4652,Italian
10248,Italian,Italian,European,31.6470,1315.7487,109.1615,82.6043,Italian
