Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
4887,Japanese,Japanese,Asian,209.1915,1696.2627,61.0608,70.3930,Japanese
4888,Japanese,Japanese,Asian,120.1208,1499.3960,25.7850,105.2965,Japanese
4889,Japanese,Japanese,Asian,9.6677,1972.1558,6.1070,216.5556,Japanese
4890,Japanese,Japanese,Asian,109.1693,554.5633,24.5199,4.4513,Japanese
4891,Japanese,Japanese,Asian,122.0571,633.2260,11.3037,15.1131,Japanese
4892,Japanese,Japanese,Asian,22.3985,497.1840,9.4535,44.1734,Japanese
4893,Japanese,Japanese,Asian,54.7180,887.5000,28.5280,62.3160,Japanese
4894,Japanese,Japanese,Asian,66.1756,422.8100,14.5391,11.1365,Japanese
4895,Japanese,Japanese,Asian,521.6395,3180.5878,98.0026,88.0503,Japanese
4896,Japanese,Japanese,Asian,106.2657,454.5750,10.3785,0.7268,Japanese
4897,Japanese,Japanese,Asian,8.8137,119.0150,10.8171,5.3605,Japanese
4898,Japanese,Japanese,Asian,8.9216,36.4840,0.2430,0.0450,Japanese
4899,Japanese,Japanese,Asian,25.1950,97.5240,0.0000,0.0000,Japanese
4900,Japanese,Japanese,Asian,13.4560,1063.8115,3.2474,116.3033,Japanese
4901,Japanese,Japanese,Asian,0.0000,0.0000,0.0000,0.0000,Japanese
4902,Japanese,Japanese,Asian,36.3327,418.0238,12.2747,29.0391,Japanese
4903,Japanese,Japanese,Asian,868.1452,4991.5492,153.6272,105.4588,Japanese
4904,Japanese,Japanese,Asian,30.4437,133.4235,3.5307,0.2468,Japanese
4905,Japanese,Japanese,Asian,231.6290,1626.1525,56.7329,53.7778,Japanese
4906,Japanese,Japanese,Asian,7.0859,1705.0230,2.2990,185.9546,Japanese
4907,Japanese,Japanese,Asian,87.2336,469.0200,22.2018,6.1035,Japanese
4908,Japanese,Japanese,Asian,66.6533,459.7333,44.8800,1.1333,Japanese
4909,Japanese,Japanese,Asian,13.7724,892.5820,0.8584,92.8000,Japanese
4910,Japanese,Japanese,Asian,2.1092,2044.3832,8.1131,231.5447,Japanese
4911,Japanese,Japanese,Asian,47.4262,1163.5184,6.6377,107.4309,Japanese
4912,Japanese,Japanese,Asian,2.0983,36.9800,2.1929,2.4912,Japanese
4913,Japanese,Japanese,Asian,26.7180,676.9197,82.3586,36.3264,Japanese
4914,Japanese,Japanese,Asian,347.7818,1635.7000,51.0226,4.2260,Japanese
4915,Japanese,Japanese,Asian,0.0000,25.2167,5.6100,0.1417,Japanese
4916,Japanese,Japanese,Asian,7.8570,171.0000,5.3430,14.4000,Japanese
4917,Japanese,Japanese,Asian,155.6988,702.8540,12.5985,1.0175,Japanese
4918,Japanese,Japanese,Asian,18.8941,420.3854,13.6120,35.0384,Japanese
4919,Japanese,Japanese,Asian,9.9053,537.7192,9.9561,51.8033,Japanese
4920,Japanese,Japanese,Asian,37.2060,151.8287,1.0969,0.2902,Japanese
4921,Japanese,Japanese,Asian,22.0903,221.9800,5.9352,14.2168,Japanese
4922,Japanese,Japanese,Asian,199.9600,774.0000,0.0000,0.0000,Japanese
4923,Japanese,Japanese,Asian,115.4466,1436.5443,42.6981,90.4972,Japanese
4924,Japanese,Japanese,Asian,299.9838,1161.1398,0.0022,0.0015,Japanese
4925,Japanese,Japanese,Asian,417.6186,2165.4230,54.6140,29.1980,Japanese
4926,Japanese,Japanese,Asian,27.7928,209.0767,11.3134,8.4672,Japanese
4927,Japanese,Japanese,Asian,954.3532,5634.5341,115.8058,188.1459,Japanese
4928,Japanese,Japanese,Asian,54.4312,587.2800,42.3940,22.3042,Japanese
4929,Japanese,Japanese,Asian,17.3297,67.4160,0.0546,0.0225,Japanese
4930,Japanese,Japanese,Asian,475.7165,3366.7240,69.2405,148.5265,Japanese
4931,Japanese,Japanese,Asian,5.2939,174.6290,0.8614,16.8930,Japanese
4932,Japanese,Japanese,Asian,0.6103,54.7400,2.6962,4.5118,Japanese
4933,Japanese,Japanese,Asian,270.8028,1632.5000,51.1305,40.4400,Japanese
4934,Japanese,Japanese,Asian,3.4326,270.6880,4.0164,27.5186,Japanese
4935,Japanese,Japanese,Asian,141.3340,817.8915,64.5501,5.0113,Japanese
4936,Japanese,Japanese,Asian,142.9880,833.8400,14.4930,29.6648,Japanese
4937,Japanese,Japanese,Asian,99.9800,387.0000,0.0000,0.0000,Japanese
4938,Japanese,Japanese,Asian,10.6691,1160.2738,4.3334,123.3306,Japanese
4939,Japanese,Japanese,Asian,136.1807,1060.7480,26.0650,47.2010,Japanese
4940,Japanese,Japanese,Asian,19.5517,120.4030,10.3924,0.7295,Japanese
4941,Japanese,Japanese,Asian,12.5975,48.7620,0.0000,0.0000,Japanese
4942,Japanese,Japanese,Asian,17.6328,84.8688,1.7436,0.7400,Japanese
4943,Japanese,Japanese,Asian,101.0109,837.0247,44.6450,28.6299,Japanese
4944,Japanese,Japanese,Asian,134.2294,1547.5580,28.2140,105.6338,Japanese
4945,Japanese,Japanese,Asian,9.1196,482.4200,7.2510,47.2854,Japanese
4946,Japanese,Japanese,Asian,5.8316,74.4200,3.8430,3.9894,Japanese
4947,Japanese,Japanese,Asian,31.1295,763.2770,11.1522,69.7050,Japanese
4948,Japanese,Japanese,Asian,487.7610,4058.6542,76.1089,220.0061,Japanese
4949,Japanese,Japanese,Asian,391.2166,4051.0340,51.6083,263.8273,Japanese
4950,Japanese,Japanese,Asian,8.4459,1736.9503,361.5260,18.7206,Japanese
4951,Japanese,Japanese,Asian,241.9964,1827.8350,23.7828,93.7662,Japanese
4952,Japanese,Japanese,Asian,361.2742,1820.0650,79.5745,21.8711,Japanese
4953,Japanese,Japanese,Asian,55.2872,369.5460,11.5290,11.9682,Japanese
4954,Japanese,Japanese,Asian,21.0254,1048.2299,3.1119,108.3664,Japanese
4955,Japanese,Japanese,Asian,1027.6838,6152.4702,109.2899,190.9688,Japanese
4956,Japanese,Japanese,Asian,74.5041,727.0480,56.6388,36.0920,Japanese
4957,Japanese,Japanese,Asian,10.5917,166.9653,1.5530,13.7193,Japanese
4958,Japanese,Japanese,Asian,17.5792,121.2300,4.4911,5.0645,Japanese
4959,Japanese,Japanese,Asian,49.9900,193.5000,0.0000,0.0000,Japanese
4960,Japanese,Japanese,Asian,85.7644,342.1480,3.0589,1.3737,Japanese
4961,Japanese,Japanese,Asian,1.5776,16.9600,2.6048,0.1824,Japanese
4962,Japanese,Japanese,Asian,7.2775,72.0450,10.5693,0.7418,Japanese
4963,Japanese,Japanese,Asian,7.8048,343.4130,3.3213,34.4875,Japanese
4964,Japanese,Japanese,Asian,0.7888,8.4800,1.3024,0.0912,Japanese
4965,Japanese,Japanese,Asian,87.8018,447.6060,10.0116,6.9984,Japanese
4966,Japanese,Japanese,Asian,35.3600,470.4000,41.4400,21.7600,Japanese
4967,Japanese,Japanese,Asian,42.9240,564.0400,5.7804,43.2872,Japanese
4968,Japanese,Japanese,Asian,15.3959,73.7030,2.5210,0.6784,Japanese
4969,Japanese,Japanese,Asian,1.9851,13.8680,1.6878,0.1729,Japanese
4970,Japanese,Japanese,Asian,0.0000,25.2167,5.6100,0.1417,Japanese
4971,Japanese,Japanese,Asian,25.4249,531.6747,39.3916,33.9669,Japanese
4972,Japanese,Japanese,Asian,67.2481,614.9750,22.4911,33.1101,Japanese
4973,Japanese,Japanese,Asian,0.0000,0.0000,0.0000,0.0000,Japanese
4974,Japanese,Japanese,Asian,28.6658,4957.4642,1124.2680,39.2481,Japanese
4975,Japanese,Japanese,Asian,17.3820,1894.2310,72.7970,169.0975,Japanese
4976,Japanese,Japanese,Asian,254.8969,2973.0727,228.7078,134.2971,Japanese
4977,Japanese,Japanese,Asian,52.8876,264.0960,7.6100,3.5760,Japanese
4978,Japanese,Japanese,Asian,134.2611,956.1010,50.2158,27.5953,Japanese
4979,Japanese,Japanese,Asian,0.0000,12.6083,2.8050,0.0708,Japanese
4980,Japanese,Japanese,Asian,147.2031,1558.9032,144.2309,46.1174,Japanese
4981,Japanese,Japanese,Asian,10.5090,137.9265,13.0839,6.3581,Japanese
4982,Japanese,Japanese,Asian,43.1606,195.1865,4.7989,1.5246,Japanese
4983,Japanese,Japanese,Asian,0.0000,0.0000,0.0000,0.0000,Japanese
4984,Japanese,Japanese,Asian,67.7082,847.7914,61.5566,38.4618,Japanese
4985,Japanese,Japanese,Asian,27.4595,353.1700,29.7403,15.1075,Japanese
4986,Japanese,Japanese,Asian,123.0660,1940.6079,160.9422,90.5027,Japanese
4987,Japanese,Japanese,Asian,178.1512,3026.4224,457.9148,40.2251,Japanese
4988,Japanese,Japanese,Asian,10.0528,106.6700,9.6054,4.1934,Japanese
4989,Japanese,Japanese,Asian,14.1098,106.5225,6.7456,3.1592,Japanese
4990,Japanese,Japanese,Asian,36.2510,1368.0867,155.1037,65.0426,Japanese
