Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
4686,Korean,Korean,Asian,759.3666,5844.7040,286.1086,189.0735,Korean
4687,Korean,Korean,Asian,25.5454,1986.0209,173.7526,126.8686,Korean
4688,Korean,Korean,Asian,66.1954,1282.7548,173.7653,38.0747,Korean
4689,Korean,Korean,Asian,66.1786,894.6240,49.2383,53.3096,Korean
4690,Korean,Korean,Asian,63.4957,1230.8633,112.9295,58.6104,Korean
4691,Korean,Korean,Asian,15.3294,675.2444,111.1818,19.7058,Korean
4692,Korean,Korean,Asian,92.6958,518.3650,25.6272,8.9102,Korean
4693,Korean,Korean,Asian,71.9039,2200.9731,200.8013,121.9945,Korean
4694,Korean,Korean,Asian,173.2672,3667.1658,281.5701,200.5794,Korean
4695,Korean,Korean,Asian,195.0503,3164.4727,249.6681,158.1403,Korean
4696,Korean,Korean,Asian,162.9981,870.0800,17.5453,15.1052,Korean
4697,Korean,Korean,Asian,260.5800,4518.5214,204.0524,303.1693,Korean
4698,Korean,Korean,Asian,235.7010,7618.4500,400.1048,555.2826,Korean
4699,Korean,Korean,Asian,92.8026,2904.3130,173.1279,201.9539,Korean
4700,Korean,Korean,Asian,161.7179,1927.0582,208.9593,50.9701,Korean
4701,Korean,Korean,Asian,67.2029,1577.0185,109.5172,100.1975,Korean
4702,Korean,Korean,Asian,28.8485,317.6911,11.4416,19.6215,Korean
4703,Korean,Korean,Asian,56.3570,1332.6234,157.0197,55.8422,Korean
4704,Korean,Korean,Asian,203.4368,7232.0250,171.0020,639.1053,Korean
4705,Korean,Korean,Asian,4.3200,399.9640,14.2100,37.4600,Korean
4706,Korean,Korean,Asian,308.9898,3306.6535,134.8361,167.6617,Korean
4707,Korean,Korean,Asian,47.2236,5237.3660,326.6443,406.4262,Korean
4708,Korean,Korean,Asian,37.5743,1278.2119,88.3722,85.6637,Korean
4709,Korean,Korean,Asian,21.9461,1059.6071,96.7077,66.3781,Korean
4710,Korean,Korean,Asian,120.7110,2128.4133,371.9343,10.3284,Korean
4711,Korean,Korean,Asian,148.8216,3221.0329,455.5696,80.4852,Korean
4712,Korean,Korean,Asian,232.4970,1830.2182,204.4270,9.5379,Korean
4713,Korean,Korean,Asian,67.3796,1712.8395,96.6412,117.7110,Korean
4714,Korean,Korean,Asian,180.4197,1578.1077,196.8544,6.3058,Korean
4715,Korean,Korean,Asian,44.8224,1329.6759,218.0555,32.6879,Korean
4716,Korean,Korean,Asian,235.1921,1071.9835,20.1905,6.5794,Korean
4717,Korean,Korean,Asian,50.6691,1166.3633,111.3295,57.6299,Korean
4718,Korean,Korean,Asian,57.3967,1355.0301,102.7186,79.6540,Korean
