Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
5704,Mexican,Mexican,Latin American,9.8449,1743.4447,361.3949,18.9883,Mexican
5705,Mexican,Mexican,Latin American,57.9604,825.8561,27.1137,57.1967,Mexican
5706,Mexican,Mexican,Latin American,6.9824,333.4815,62.1369,4.6193,Mexican
5707,Mexican,Mexican,Latin American,13.8047,2173.4985,15.4889,233.5157,Mexican
5708,Mexican,Mexican,Latin American,78.8560,3828.9076,148.5042,335.4667,Mexican
5709,Mexican,Mexican,Latin American,8.3599,276.7187,1.1990,27.3396,Mexican
5710,Mexican,Mexican,Latin American,14.4231,470.0305,28.7362,33.7910,Mexican
5711,Mexican,Mexican,Latin American,90.8295,469.1600,26.6761,3.2446,Mexican
5712,Mexican,Mexican,Latin American,364.4467,2061.2782,83.1706,34.0157,Mexican
5713,Mexican,Mexican,Latin American,25.4929,131.3590,4.2474,2.0685,Mexican
5714,Mexican,Mexican,Latin American,33.9577,669.1394,99.4166,17.7294,Mexican
5715,Mexican,Mexican,Latin American,168.0347,1713.2122,42.7477,105.0605,Mexican
5716,Mexican,Mexican,Latin American,24.2923,694.6559,97.6888,21.7524,Mexican
5717,Mexican,Mexican,Latin American,95.6103,3159.9526,302.9023,176.5861,Mexican
5718,Mexican,Mexican,Latin American,436.9600,2342.4357,134.2915,12.7756,Mexican
5719,Mexican,Mexican,Latin American,0.0000,358.0200,0.0000,40.5000,Mexican
5720,Mexican,Mexican,Latin American,662.7979,3574.4907,114.6309,50.6657,Mexican
5721,Mexican,Mexican,Latin American,257.8796,1592.5213,105.5051,19.6911,Mexican
5722,Mexican,Mexican,Latin American,65.9980,1255.0405,107.3264,62.1235,Mexican
5723,Mexican,Mexican,Latin American,2.2653,1661.9015,359.2951,13.5923,Mexican
5724,Mexican,Mexican,Latin American,48.2098,712.9939,92.7798,18.5248,Mexican
5725,Mexican,Mexican,Latin American,23.1672,372.2400,12.2175,26.6760,Mexican
5726,Mexican,Mexican,Latin American,51.6486,603.5665,97.7146,3.9804,Mexican
5727,Mexican,Mexican,Latin American,26.3397,1571.0138,116.8951,109.9489,Mexican
5728,Mexican,Mexican,Latin American,1.8000,417.1700,31.4000,30.5250,Mexican
5729,Mexican,Mexican,Latin American,27.7845,1398.9306,147.1874,80.3194,Mexican
5730,Mexican,Mexican,Latin American,17.4163,571.3220,15.0509,50.4927,Mexican
5731,Mexican,Mexican,Latin American,23.1813,602.7878,5.1539,58.3806,Mexican
5732,Mexican,Mexican,Latin American,47.7028,622.1720,100.4721,4.4012,Mexican
5733,Mexican,Mexican,Latin American,11.5578,645.0840,36.6424,50.6837,Mexican
5734,Mexican,Mexican,Latin American,238.8449,2220.4524,178.0205,63.4987,Mexican
5735,Mexican,Mexican,Latin American,10.3700,164.7500,1.5356,13.7290,Mexican
5736,Mexican,Mexican,Latin American,8.4911,1315.0007,180.8183,59.2966,Mexican
5737,Mexican,Mexican,Latin American,562.0810,2906.3086,106.7551,36.3910,Mexican
5738,Mexican,Mexican,Latin American,19.3532,1669.0518,196.6846,85.3737,Mexican
5739,Mexican,Mexican,Latin American,203.7045,1206.7641,66.2882,18.4230,Mexican
5740,Mexican,Mexican,Latin American,1.9676,2657.7448,294.8811,155.5113,Mexican
5741,Mexican,Mexican,Latin American,42.1147,1051.9505,113.3148,46.4540,Mexican
5742,Mexican,Mexican,Latin American,135.3882,13046.2849,139.7158,1388.2848,Mexican
5743,Mexican,Mexican,Latin American,25.5402,1421.1224,198.8364,51.3403,Mexican
5744,Mexican,Mexican,Latin American,34.8922,1122.0422,152.4147,39.1881,Mexican
5745,Mexican,Mexican,Latin American,103.8739,8763.7318,7.0659,927.8775,Mexican
5746,Mexican,Mexican,Latin American,82.8363,1832.6984,109.6980,118.2470,Mexican
5747,Mexican,Mexican,Latin American,29.0699,1042.4498,116.3255,52.1155,Mexican
5748,Mexican,Mexican,Latin American,198.6409,1067.2141,66.7766,4.5721,Mexican
5749,Mexican,Mexican,Latin American,98.0624,1733.7910,117.5895,101.2748,Mexican
5750,Mexican,Mexican,Latin American,248.4197,2227.4546,160.7687,66.2285,Mexican
5751,Mexican,Mexican,Latin American,25.0933,1231.9481,143.7457,60.4555,Mexican
5752,Mexican,Mexican,Latin American,275.6347,2244.3562,141.3424,69.1060,Mexican
5753,Mexican,Mexican,Latin American,13.1047,1763.9294,361.8084,20.3721,Mexican
5754,Mexican,Mexican,Latin American,0.5713,121.5204,0.1064,13.5243,Mexican
5755,Mexican,Mexican,Latin American,28.0429,755.1872,66.7334,41.5423,Mexican
5756,Mexican,Mexican,Latin American,47.5774,1874.3494,136.9109,130.4587,Mexican
5757,Mexican,Mexican,Latin American,51.8126,408.1625,14.2528,19.8284,Mexican
5758,Mexican,Mexican,Latin American,33.8824,2820.8550,176.1128,219.5466,Mexican
5759,Mexican,Mexican,Latin American,32.0014,2195.9102,247.1899,115.5415,Mexican
5760,Mexican,Mexican,Latin American,31.6549,4101.7960,451.8464,227.7305,Mexican
5761,Mexican,Mexican,Latin American,290.7446,3455.3462,33.9465,245.6696,Mexican
5762,Mexican,Mexican,Latin American,9.3487,553.3300,42.3312,37.7529,Mexican
5763,Mexican,Mexican,Latin American,257.4614,1612.0111,73.4716,34.8383,Mexican
5764,Mexican,Mexican,Latin American,33.4294,262.2812,5.0987,14.7143,Mexican
5765,Mexican,Mexican,Latin American,20.1498,362.4920,13.8470,29.1376,Mexican
5766,Mexican,Mexican,Latin American,197.1193,2185.6939,157.8387,86.6274,Mexican
5767,Mexican,Mexican,Latin American,10.8635,531.5810,91.2755,12.0172,Mexican
5768,Mexican,Mexican,Latin American,9.4002,161.8800,1.6302,13.7784,Mexican
5769,Mexican,Mexican,Latin American,27.8479,1196.4152,115.9026,71.4853,Mexican
5770,Mexican,Mexican,Latin American,93.5878,1089.5152,18.2450,76.2898,Mexican
5771,Mexican,Mexican,Latin American,13.8368,225.9627,15.8495,11.8643,Mexican
5772,Mexican,Mexican,Latin American,29.0171,678.8869,50.4735,40.4995,Mexican
5773,Mexican,Mexican,Latin American,188.5034,1024.9693,64.1080,4.7176,Mexican
5774,Mexican,Mexican,Latin American,8.1108,455.8200,38.8248,28.6200,Mexican
5775,Mexican,Mexican,Latin American,15.5281,508.5569,28.6645,37.7084,Mexican
5776,Mexican,Mexican,Latin American,96.0504,1357.6576,51.0581,84.2850,Mexican
5777,Mexican,Mexican,Latin American,49.5379,5141.1348,111.6615,512.5899,Mexican
5778,Mexican,Mexican,Latin American,259.8677,1584.3506,77.1489,30.6724,Mexican
5779,Mexican,Mexican,Latin American,10.3652,161.9097,1.9211,13.9798,Mexican
5780,Mexican,Mexican,Latin American,211.6281,1328.6648,100.0707,11.6955,Mexican
5781,Mexican,Mexican,Latin American,16.6864,612.5688,96.2252,16.7825,Mexican
5782,Mexican,Mexican,Latin American,5.8960,4036.6000,39.2680,436.4380,Mexican
5783,Mexican,Mexican,Latin American,33.5199,1178.3151,82.4580,77.7874,Mexican
5784,Mexican,Mexican,Latin American,34.4461,766.0499,139.7389,4.9939,Mexican
5785,Mexican,Mexican,Latin American,26.2154,1491.0236,67.9019,127.3458,Mexican
5786,Mexican,Mexican,Latin American,288.7700,1763.7041,87.7628,36.6803,Mexican
5787,Mexican,Mexican,Latin American,4.3200,858.0000,75.3600,57.0600,Mexican
5788,Mexican,Mexican,Latin American,16.2927,88.2835,3.1742,3.0683,Mexican
5789,Mexican,Mexican,Latin American,21.6818,178.0100,3.3277,10.1111,Mexican
5790,Mexican,Mexican,Latin American,255.6515,1958.2547,88.4694,69.6570,Mexican
5791,Mexican,Mexican,Latin American,63.1197,497.7083,25.5120,19.0266,Mexican
5792,Mexican,Mexican,Latin American,426.4619,2414.3130,103.8552,36.9195,Mexican
5793,Mexican,Mexican,Latin American,18.4900,257.8319,25.9382,8.8209,Mexican
5794,Mexican,Mexican,Latin American,709.2664,3840.0282,164.6348,44.9683,Mexican
5795,Mexican,Mexican,Latin American,34.5140,712.8100,32.8254,51.1473,Mexican
5796,Mexican,Mexican,Latin American,5.4348,350.3674,62.5893,6.9787,Mexican
5797,Mexican,Mexican,Latin American,188.0860,1825.4178,112.5994,70.3934,Mexican
5798,Mexican,Mexican,Latin American,19.5351,533.5637,14.6749,46.1439,Mexican
5799,Mexican,Mexican,Latin American,43.1679,2009.3909,166.8245,128.7202,Mexican
5800,Mexican,Mexican,Latin American,154.8086,2469.6229,205.1536,115.0183,Mexican
5801,Mexican,Mexican,Latin American,13.5921,188.4892,3.2857,15.0390,Mexican
5802,Mexican,Mexican,Latin American,24.4311,540.3000,7.3666,47.0803,Mexican
5803,Mexican,Mexican,Latin American,12.2083,521.3265,1.5276,54.7457,Mexican
5804,Mexican,Mexican,Latin American,,,,,Mexican
5805,Mexican,Mexican,Latin American,34.8200,377.3429,6.9532,28.1506,Mexican
5806,Mexican,Mexican,Latin American,358.8423,4870.3340,388.2059,248.3117,Mexican
5807,Mexican,Mexican,Latin American,12.0897,1070.3133,96.2070,69.6418,Mexican
5808,Mexican,Mexican,Latin American,8.2424,1325.2411,181.1979,59.3939,Mexican
5809,Mexican,Mexican,Latin American,69.9965,1393.0792,42.7635,111.0272,Mexican
5810,Mexican,Mexican,Latin American,120.5079,1035.8833,16.5463,58.4502,Mexican
5811,Mexican,Mexican,Latin American,5.3245,631.1676,92.5662,24.5192,Mexican
5812,Mexican,Mexican,Latin American,27.2645,893.7665,100.7368,42.9469,Mexican
5813,Mexican,Mexican,Latin American,76.8005,940.3650,45.1795,51.2425,Mexican
5814,Mexican,Mexican,Latin American,236.4239,1906.9254,172.4494,36.8828,Mexican
5815,Mexican,Mexican,Latin American,,,,,Mexican
5816,Mexican,Mexican,Latin American,98.5721,1311.4957,17.9561,104.6046,Mexican
5817,Mexican,Mexican,Latin American,1.9942,1990.4380,12.5600,214.5100,Mexican
5818,Mexican,Mexican,Latin American,67.2925,907.3008,96.8620,26.5519,Mexican
5819,Mexican,Mexican,Latin American,238.9382,1259.5531,74.6764,8.2766,Mexican
5820,Mexican,Mexican,Latin American,11.3614,572.1732,40.2517,40.0086,Mexican
5821,Mexican,Mexican,Latin American,792.8775,4804.0358,246.4994,80.2000,Mexican
5822,Mexican,Mexican,Latin American,75.6855,1349.7738,183.8761,33.6418,Mexican
5823,Mexican,Mexican,Latin American,2.6204,8.0225,0.1696,0.0316,Mexican
5824,Mexican,Mexican,Latin American,6.8800,1174.1600,50.2400,106.0400,Mexican
5825,Mexican,Mexican,Latin American,26.2970,1840.9284,185.9552,113.2343,Mexican
5826,Mexican,Mexican,Latin American,24.1087,753.1364,102.0562,26.2900,Mexican
5827,Mexican,Mexican,Latin American,84.3368,2310.4222,93.0263,196.3574,Mexican
5828,Mexican,Mexican,Latin American,24.8098,1078.0724,151.5468,39.1341,Mexican
5829,Mexican,Mexican,Latin American,24.0371,860.7262,109.1043,38.3113,Mexican
5830,Mexican,Mexican,Latin American,15.0373,962.6210,91.3261,58.2821,Mexican
5831,Mexican,Mexican,Latin American,51.6328,1728.3976,162.0192,93.7743,Mexican
5832,Mexican,Mexican,Latin American,96.0020,757.0453,14.0066,37.9073,Mexican
5833,Mexican,Mexican,Latin American,39.5304,995.2051,98.1722,51.8283,Mexican
5834,Mexican,Mexican,Latin American,150.6606,1253.7507,85.3890,35.4980,Mexican
