Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
2610,Middle Eastern,Egyptian,African,146.7606,805.6975,49.5540,5.6564,Middle Eastern
2611,Middle Eastern,Egyptian,African,39.3312,386.7670,15.5638,19.7239,Middle Eastern
2612,Middle Eastern,Egyptian,African,34.0004,1762.7662,82.9034,146.8971,Middle Eastern
2613,Middle Eastern,Egyptian,African,225.1172,1686.8298,67.8589,62.4829,Middle Eastern
2614,Middle Eastern,Egyptian,African,83.0609,1006.2380,26.1800,73.1713,Middle Eastern
2615,Middle Eastern,Egyptian,African,543.3028,4117.4667,46.5988,212.1542,Middle Eastern
2616,Middle Eastern,Egyptian,African,81.2955,1043.9806,68.5817,52.6077,Middle Eastern
2617,Middle Eastern,Egyptian,African,87.6790,1469.8658,23.6185,120.2423,Middle Eastern
2618,Middle Eastern,Egyptian,African,158.2643,1065.3316,63.0252,24.9374,Middle Eastern
2619,Middle Eastern,Egyptian,African,244.3117,1814.1703,87.4819,58.2962,Middle Eastern
2620,Middle Eastern,Egyptian,African,2.9158,518.9900,1.9215,56.4947,Middle Eastern
2621,Middle Eastern,Egyptian,African,167.6228,1409.6749,75.1704,55.5380,Middle Eastern
2622,Middle Eastern,Egyptian,African,3.5687,483.4693,29.3962,38.8087,Middle Eastern
2623,Middle Eastern,Egyptian,African,28.8948,1223.6182,90.7007,82.8815,Middle Eastern
2624,Middle Eastern,Egyptian,African,14.9691,1493.0635,6.7678,160.7903,Middle Eastern
2625,Middle Eastern,Egyptian,African,402.8471,10481.3524,25.1462,1000.0285,Middle Eastern
2626,Middle Eastern,Egyptian,African,200.6800,1521.0667,12.5600,77.8433,Middle Eastern
2627,Middle Eastern,Egyptian,African,19.6895,1032.7540,93.0839,62.6710,Middle Eastern
2628,Middle Eastern,Egyptian,African,307.4246,2606.7885,51.3165,138.2951,Middle Eastern
2629,Middle Eastern,Egyptian,African,151.6076,918.9914,15.9219,28.9226,Middle Eastern
2630,Middle Eastern,Egyptian,African,8.7474,230.9700,5.7645,19.4841,Middle Eastern
2631,Middle Eastern,Egyptian,African,288.0574,2650.6910,133.2597,128.5493,Middle Eastern
2632,Middle Eastern,Egyptian,African,456.5984,2188.1254,55.4465,20.9732,Middle Eastern
2633,Middle Eastern,Egyptian,African,203.9699,6183.7783,3.1795,611.8695,Middle Eastern
