Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
2656,Northern Africa,Moroccan,African,248.3609,17343.0723,401.1311,1638.6127,Northern Africa
2657,Northern Africa,Moroccan,African,362.4176,2173.7627,114.8770,37.4801,Northern Africa
2658,Northern Africa,Moroccan,African,511.5621,3402.8343,178.1407,82.5335,Northern Africa
2659,Northern Africa,Moroccan,African,35.3808,3068.2712,547.0434,71.1227,Northern Africa
2660,Northern Africa,Moroccan,African,31.0374,771.0929,93.4788,29.9546,Northern Africa
2661,Northern Africa,Moroccan,African,226.1946,10002.3667,249.3429,904.8643,Northern Africa
2662,Northern Africa,Moroccan,African,46.7739,444.8824,5.0543,28.5408,Northern Africa
2663,Northern Africa,Moroccan,African,36.3731,1205.6547,186.2531,35.0150,Northern Africa
2664,Northern Africa,Moroccan,African,560.1433,2356.3663,52.4855,14.3646,Northern Africa
2665,Northern Africa,Moroccan,African,455.6114,2731.7895,132.3587,52.3929,Northern Africa
2666,Northern Africa,Moroccan,African,270.9151,1667.1161,74.6200,38.1243,Northern Africa
2667,Northern Africa,Moroccan,African,230.4543,2124.5124,246.8351,23.9566,Northern Africa
2668,Northern Africa,Moroccan,African,25.6734,591.7440,29.7517,43.1250,Northern Africa
2669,Northern Africa,Moroccan,African,272.0988,2847.8478,171.7978,125.9894,Northern Africa
2670,Northern Africa,Moroccan,African,188.2295,1778.3118,144.4200,54.4294,Northern Africa
2671,Northern Africa,Moroccan,African,117.6028,2376.9656,211.6569,115.1166,Northern Africa
2672,Northern Africa,Moroccan,African,249.0967,1598.1153,82.9588,37.7312,Northern Africa
2673,Northern Africa,Moroccan,African,306.6238,1720.4536,81.9051,28.6066,Northern Africa
2674,Northern Africa,Moroccan,African,22.0179,339.3654,3.4666,27.8953,Northern Africa
2675,Northern Africa,Moroccan,African,347.4476,1884.5123,72.9775,34.9217,Northern Africa
2676,Northern Africa,Moroccan,African,7.8009,41.9728,1.3776,1.5273,Northern Africa
2677,Northern Africa,Moroccan,African,67.2041,659.6857,13.7937,43.3530,Northern Africa
2678,Northern Africa,Moroccan,African,721.1797,4393.2692,314.4983,45.8311,Northern Africa
2679,Northern Africa,Moroccan,African,33.0312,1119.3625,7.6728,109.7587,Northern Africa
2680,Northern Africa,Moroccan,African,131.5459,688.9797,16.6022,15.0921,Northern Africa
2681,Northern Africa,Moroccan,African,604.2438,3379.7953,160.6477,41.8972,Northern Africa
2682,Northern Africa,Moroccan,African,11.1161,854.1583,179.9562,5.1614,Northern Africa
2683,Northern Africa,Moroccan,African,53.6999,712.4955,7.5088,55.6230,Northern Africa
2684,Northern Africa,Moroccan,African,426.4403,3345.8200,73.2018,155.5352,Northern Africa
2685,Northern Africa,Moroccan,African,1.1741,3.6800,0.1150,0.0387,Northern Africa
2686,Northern Africa,Moroccan,African,81.8234,375.4180,16.0387,4.5599,Northern Africa
2687,Northern Africa,Moroccan,African,256.5888,3625.2749,525.9689,53.0862,Northern Africa
2688,Northern Africa,Moroccan,African,297.4812,2815.5077,77.4163,157.5042,Northern Africa
2689,Northern Africa,Moroccan,African,249.4921,1577.0273,74.2193,41.8171,Northern Africa
2690,Northern Africa,Moroccan,African,54.9350,689.1730,22.7954,47.2820,Northern Africa
2691,Northern Africa,Moroccan,African,115.4394,723.2761,21.2735,19.2679,Northern Africa
2692,Northern Africa,Moroccan,African,162.2283,1419.0430,57.4506,62.4423,Northern Africa
2693,Northern Africa,Moroccan,African,55.1483,1292.2072,188.3685,33.7163,Northern Africa
2694,Northern Africa,Moroccan,African,108.9607,3474.8740,175.5636,259.4929,Northern Africa
2695,Northern Africa,Moroccan,African,154.4954,3933.0673,205.2370,279.2862,Northern Africa
2696,Northern Africa,Moroccan,African,43.8970,624.5970,28.7706,38.6703,Northern Africa
2697,Northern Africa,Moroccan,African,97.5656,9400.5210,196.3138,921.3935,Northern Africa
2698,Northern Africa,Moroccan,African,5.1488,329.0847,53.5208,10.9519,Northern Africa
2699,Northern Africa,Moroccan,African,204.7708,2497.4469,128.2904,131.5967,Northern Africa
2700,Northern Africa,Moroccan,African,182.6570,4350.1718,159.2176,337.2171,Northern Africa
2701,Northern Africa,Moroccan,African,321.8718,1783.7265,55.8512,27.4660,Northern Africa
2702,Northern Africa,Moroccan,African,58.7352,5457.1480,337.0201,424.4539,Northern Africa
2703,Northern Africa,Moroccan,African,239.6624,1705.2031,75.9520,56.2835,Northern Africa
2704,Northern Africa,Moroccan,African,220.8215,2998.3516,176.8981,158.1575,Northern Africa
2705,Northern Africa,Moroccan,African,6.9810,153.5720,2.0440,13.8657,Northern Africa
49472,Northern Africa,Moroccan,African,1.6506,369.9990,0.7126,41.0578,Northern Africa
49473,Northern Africa,Moroccan,African,240.1915,2586.7428,38.2867,166.3016,Northern Africa
49474,Northern Africa,Moroccan,African,67134.0394,325838.1750,11044.0681,554.7325,Northern Africa
49475,Northern Africa,Moroccan,African,45.0115,208.1287,10.9086,2.4191,Northern Africa
49476,Northern Africa,Moroccan,African,15.3765,427.2495,1.7553,41.2385,Northern Africa
49477,Northern Africa,Moroccan,African,4.4621,309.9432,26.2483,20.3749,Northern Africa
