Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
2638,Rest Africa,Nigerian,African,11.2828,896.7931,147.6749,30.1224,Rest Africa
2639,Rest Africa,Nigerian,African,61.3927,4741.4400,257.1458,384.2864,Rest Africa
2640,Rest Africa,Nigerian,African,237.9340,1191.1535,30.4991,17.4933,Rest Africa
2641,Rest Africa,Nigerian,African,43.1977,192.4420,7.5372,6.4955,Rest Africa
2642,Rest Africa,Nigerian,African,53.2087,1096.0535,14.2093,100.5834,Rest Africa
2643,Rest Africa,Nigerian,African,209.4808,2310.3275,141.8314,102.7490,Rest Africa
2644,Rest Africa,Nigerian,African,221.9085,2591.7438,129.3330,146.4061,Rest Africa
2645,Rest Africa,Nigerian,African,20.0788,87.8378,4.8503,0.5071,Rest Africa
2646,Rest Africa,Nigerian,African,14.0149,447.4200,10.7526,40.3274,Rest Africa
2647,Rest Africa,Nigerian,African,47.9025,1132.1900,3.4759,109.7512,Rest Africa
2648,Rest Africa,Nigerian,African,226.9469,895.5181,2.7818,1.1415,Rest Africa
2649,Rest Africa,Nigerian,African,19.7859,2233.1800,12.1145,245.1870,Rest Africa
2650,Rest Africa,Nigerian,African,214.2833,1154.7421,20.0447,29.0112,Rest Africa
2651,Rest Africa,Nigerian,African,63.3961,953.5881,22.4362,74.6315,Rest Africa
2652,Rest Africa,Nigerian,African,18.8820,1878.1712,44.0954,187.2560,Rest Africa
2653,Rest Africa,Nigerian,African,22.5910,329.2367,2.6180,27.3764,Rest Africa
2654,Rest Africa,Nigerian,African,34.7800,243.6000,8.7024,9.4208,Rest Africa
2655,Rest Africa,Nigerian,African,20.5832,228.6600,9.3324,14.7176,Rest Africa
2706,Rest Africa,Nigerian,African,65.1892,3068.8227,368.2785,149.7634,Rest Africa
2707,Rest Africa,Nigerian,African,116.5759,3402.6557,208.7362,243.7995,Rest Africa
2708,Rest Africa,Nigerian,African,46.4199,1120.5162,77.0226,75.1942,Rest Africa
2709,Rest Africa,Nigerian,African,288.3429,2079.1511,123.3920,51.8845,Rest Africa
2710,Rest Africa,Nigerian,African,513.1459,7167.2201,245.2262,478.6798,Rest Africa
2711,Rest Africa,Nigerian,African,648.4691,3788.2537,173.9532,72.1134,Rest Africa
2712,Rest Africa,Nigerian,African,327.6594,2066.7572,60.7916,59.6515,Rest Africa
2713,Rest Africa,Nigerian,African,149.8787,3719.8840,174.1352,295.9331,Rest Africa
2714,Rest Africa,Nigerian,African,309.9767,1995.6257,59.9095,60.8318,Rest Africa
2715,Rest Africa,Nigerian,African,286.8628,4958.3397,278.6731,326.9620,Rest Africa
2716,Rest Africa,Nigerian,African,99.1090,1609.4854,53.9856,123.4815,Rest Africa
2717,Rest Africa,Nigerian,African,64.8065,763.1900,9.3223,52.8205,Rest Africa
2718,Rest Africa,Nigerian,African,75.9441,4182.8458,281.3741,312.4779,Rest Africa
2719,Rest Africa,Nigerian,African,191.4534,3212.8193,261.3219,163.0440,Rest Africa
2720,Rest Africa,Nigerian,African,48.9424,693.5240,9.4602,55.4870,Rest Africa
2721,Rest Africa,Nigerian,African,40.5614,1084.9520,207.8279,5.8968,Rest Africa
2722,Rest Africa,Nigerian,African,176.6764,1254.2627,38.6537,51.9924,Rest Africa
2723,Rest Africa,Nigerian,African,211.9652,1877.4208,54.1209,105.8234,Rest Africa
2724,Rest Africa,Nigerian,African,53.1319,2165.8082,280.7266,92.3702,Rest Africa
2725,Rest Africa,Nigerian,African,995.7786,5384.8115,183.3372,92.0206,Rest Africa
2726,Rest Africa,Nigerian,African,70.7574,1852.0346,326.3191,23.9094,Rest Africa
2727,Rest Africa,Nigerian,African,81.3572,1205.8658,48.4854,78.8267,Rest Africa
2728,Rest Africa,Nigerian,African,249.9500,967.5000,0.0000,0.0000,Rest Africa
2729,Rest Africa,Nigerian,African,120.5977,1285.5800,45.6220,79.6538,Rest Africa
2730,Rest Africa,Nigerian,African,200.1502,1687.1860,53.5150,80.4329,Rest Africa
2731,Rest Africa,Nigerian,African,229.5085,1134.1220,16.8503,20.0038,Rest Africa
2732,Rest Africa,Nigerian,African,42.9444,23918.4000,520.7688,2404.3428,Rest Africa
2733,Rest Africa,Nigerian,African,192.4377,1822.5310,68.6181,90.1042,Rest Africa
2734,Rest Africa,Nigerian,African,762.3361,3648.1797,79.2717,31.3053,Rest Africa
2735,Rest Africa,Nigerian,African,78.0873,551.7371,15.4858,23.5997,Rest Africa
2736,Rest Africa,Nigerian,African,126.0096,13492.8059,236.8963,1365.1466,Rest Africa
2737,Rest Africa,Nigerian,African,44.7422,245.8260,3.1071,7.3462,Rest Africa
2738,Rest Africa,Nigerian,African,232.9172,2420.0540,228.6736,68.6268,Rest Africa
2739,Rest Africa,Nigerian,African,152.0797,1654.1280,7.2890,112.7678,Rest Africa
2740,Rest Africa,Nigerian,African,184.8345,1854.2890,63.5289,98.4052,Rest Africa
2741,Rest Africa,Nigerian,African,66.0985,1595.5602,100.8029,104.4449,Rest Africa
2742,Rest Africa,Nigerian,African,337.4397,2115.6600,36.5280,72.4136,Rest Africa
2743,Rest Africa,Nigerian,African,156.1995,1130.0250,37.0861,40.4595,Rest Africa
