Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
8604,Scandinavian,Danish,European,400.1104,1633.6800,0.0000,0.0000,Scandinavian
8605,Scandinavian,Danish,European,11.6969,462.3930,6.0272,44.8114,Scandinavian
8606,Scandinavian,Danish,European,132.2402,877.8450,33.2420,28.1416,Scandinavian
8607,Scandinavian,Danish,European,278.5828,1374.2620,59.2531,15.8832,Scandinavian
8608,Scandinavian,Danish,European,45.7525,1183.6865,29.6488,105.6609,Scandinavian
8609,Scandinavian,Danish,European,30.1273,1793.3780,93.4883,143.6562,Scandinavian
8610,Scandinavian,Danish,European,205.1765,2214.9510,112.5913,112.3331,Scandinavian
8611,Scandinavian,Danish,European,1.4352,104.1342,0.8698,10.8362,Scandinavian
8612,Scandinavian,Danish,European,49.7459,4728.5810,61.8621,477.4229,Scandinavian
8613,Scandinavian,Danish,European,1140.7680,8517.4720,128.7550,404.4128,Scandinavian
8614,Scandinavian,Danish,European,305.3174,3718.0645,9.8048,281.2516,Scandinavian
8615,Scandinavian,Danish,European,33.2250,907.6500,40.6845,72.3555,Scandinavian
8616,Scandinavian,Danish,European,138.5831,1237.7000,37.7184,64.3558,Scandinavian
8617,Scandinavian,Danish,European,161.2850,1891.3387,54.9703,123.9418,Scandinavian
8618,Scandinavian,Danish,European,71.8224,475.6792,16.4449,15.0632,Scandinavian
8619,Scandinavian,Danish,European,93.2708,443.3540,21.7976,2.8956,Scandinavian
8620,Scandinavian,Danish,European,38.1071,2132.8783,171.5621,140.7012,Scandinavian
8621,Scandinavian,Danish,European,66.2956,1075.5480,43.7581,76.5749,Scandinavian
8622,Scandinavian,Danish,European,56.4410,608.7060,33.5755,27.9610,Scandinavian
8623,Scandinavian,Danish,European,254.2908,1371.0600,37.6420,18.7522,Scandinavian
8624,Scandinavian,Danish,European,266.5414,2323.2000,55.5192,124.8440,Scandinavian
8625,Scandinavian,Danish,European,265.7916,2298.4335,55.6147,125.3116,Scandinavian
8626,Scandinavian,Danish,European,32.5623,2418.5980,23.2724,255.9358,Scandinavian
8627,Scandinavian,Danish,European,31.2133,1430.6631,100.7030,100.2982,Scandinavian
8628,Scandinavian,Danish,European,407.8639,2089.1280,63.3400,38.8324,Scandinavian
8629,Scandinavian,Danish,European,41.9849,319.4240,6.6157,14.5424,Scandinavian
8630,Scandinavian,Danish,European,75.3107,1137.8812,123.4765,36.3823,Scandinavian
8631,Scandinavian,Danish,European,529.1621,4643.1700,75.6126,274.1486,Scandinavian
8632,Scandinavian,Danish,European,294.2440,2826.0000,64.1160,172.8000,Scandinavian
9066,Scandinavian,Swedish,European,280.9929,4327.4153,33.8646,350.4661,Scandinavian
9067,Scandinavian,Swedish,European,24.2932,594.0715,11.2862,51.5719,Scandinavian
9068,Scandinavian,Swedish,European,248.2116,2632.6080,34.1973,176.1113,Scandinavian
9069,Scandinavian,Swedish,European,290.9027,1674.3835,57.4440,43.4149,Scandinavian
9070,Scandinavian,Swedish,European,232.1354,1901.8356,118.3275,59.9802,Scandinavian
9071,Scandinavian,Swedish,European,125.5005,1085.8047,31.5544,59.0208,Scandinavian
9072,Scandinavian,Swedish,European,436.7181,3840.4480,67.1912,231.1762,Scandinavian
9073,Scandinavian,Swedish,European,343.9222,2121.5210,3.2608,87.7182,Scandinavian
9074,Scandinavian,Swedish,European,68.1532,952.9360,38.1978,62.6848,Scandinavian
9075,Scandinavian,Swedish,European,216.2798,4724.5600,7.4580,436.1122,Scandinavian
9076,Scandinavian,Swedish,European,347.9561,3269.5836,7.1209,222.0403,Scandinavian
9077,Scandinavian,Swedish,European,65.9323,1728.7400,47.9962,152.1838,Scandinavian
9078,Scandinavian,Swedish,European,126.2433,3711.6560,85.4905,339.4025,Scandinavian
9079,Scandinavian,Swedish,European,12.7156,197.6625,6.2441,14.7578,Scandinavian
9080,Scandinavian,Swedish,European,132.0183,1125.7400,24.0682,62.1118,Scandinavian
9081,Scandinavian,Swedish,European,81.4180,877.5000,21.3720,57.6000,Scandinavian
9082,Scandinavian,Swedish,European,50.4728,1311.3557,196.0157,35.3706,Scandinavian
9083,Scandinavian,Swedish,European,323.0928,2313.4783,94.6182,81.2842,Scandinavian
9084,Scandinavian,Swedish,European,162.8360,1755.0000,42.7440,115.2000,Scandinavian
9085,Scandinavian,Swedish,European,46.5978,870.8250,12.8857,73.1595,Scandinavian
9086,Scandinavian,Swedish,European,73.5610,706.5000,16.0290,43.2000,Scandinavian
9087,Scandinavian,Swedish,European,405.2119,2759.4740,49.5330,120.3770,Scandinavian
9088,Scandinavian,Swedish,European,61.1910,1886.8337,151.1076,115.0777,Scandinavian
9089,Scandinavian,Swedish,European,98.7184,943.2190,21.3720,57.6000,Scandinavian
9090,Scandinavian,Swedish,European,231.8698,1492.3200,28.5660,57.7122,Scandinavian
9091,Scandinavian,Swedish,European,474.9600,5011.4000,45.4080,346.9920,Scandinavian
9092,Scandinavian,Swedish,European,32.1850,534.8120,31.1190,31.4385,Scandinavian
9093,Scandinavian,Swedish,European,383.6685,4419.9459,48.5146,311.7030,Scandinavian
9094,Scandinavian,Swedish,European,25.3168,1043.3823,29.9105,95.2426,Scandinavian
9095,Scandinavian,Swedish,European,41.1014,1058.3000,51.0868,77.2716,Scandinavian
9096,Scandinavian,Swedish,European,26.6384,651.1760,21.9920,54.7650,Scandinavian
9097,Scandinavian,Swedish,European,47.4540,1257.5490,39.3449,100.6073,Scandinavian
9098,Scandinavian,Swedish,European,319.8681,2527.0540,58.2631,126.4294,Scandinavian
9099,Scandinavian,Swedish,European,11.8929,2506.0510,93.2202,232.8161,Scandinavian
9100,Scandinavian,Swedish,European,517.6628,3330.5400,61.5460,119.6872,Scandinavian
9101,Scandinavian,Swedish,European,183.2730,3253.3133,27.6520,280.3550,Scandinavian
9102,Scandinavian,Swedish,European,93.1444,707.3200,24.9976,27.4588,Scandinavian
9103,Scandinavian,Swedish,European,115.0006,1272.4380,9.0213,87.8023,Scandinavian
9104,Scandinavian,Swedish,European,94.7313,1994.1638,74.1944,148.0763,Scandinavian
9105,Scandinavian,Swedish,European,204.2755,1600.4445,28.1532,102.6358,Scandinavian
9106,Scandinavian,Swedish,European,263.1760,2213.5000,49.0240,119.9550,Scandinavian
