Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
8291,South American,Argentine,Latin American,125.0086,5835.0672,124.9278,572.5455,South American
8292,South American,Argentine,Latin American,24.9630,3034.4132,15.3139,328.1538,South American
8293,South American,Argentine,Latin American,148.9616,889.6694,22.7023,28.7888,South American
8294,South American,Argentine,Latin American,379.7124,4164.9679,76.0055,274.9680,South American
8295,South American,Argentine,Latin American,45.4261,328.6200,7.6853,14.6298,South American
8296,South American,Argentine,Latin American,2339.6134,24729.9776,723.8054,1459.1006,South American
8297,South American,Argentine,Latin American,35.4251,1169.4150,95.2061,72.2621,South American
8298,South American,Argentine,Latin American,593.4018,5996.1229,254.5669,285.4458,South American
8299,South American,Argentine,Latin American,59.0296,933.8030,38.8531,66.5221,South American
8300,South American,Argentine,Latin American,240.0801,2265.9422,57.4514,126.2818,South American
8301,South American,Argentine,Latin American,458.1103,2539.5115,142.6140,21.3442,South American
8302,South American,Argentine,Latin American,231.8671,3763.1809,202.7637,238.2131,South American
8303,South American,Argentine,Latin American,85.1138,2586.1000,49.4280,230.0980,South American
8304,South American,Argentine,Latin American,35.3720,1101.8217,5.4363,109.9314,South American
8305,South American,Argentine,Latin American,0.0000,469.7900,0.0000,54.5000,South American
8306,South American,Argentine,Latin American,280.3111,2586.3540,61.1475,148.7959,South American
8307,South American,Argentine,Latin American,49.1868,12318.6419,265.0040,1230.5787,South American
8308,South American,Argentine,Latin American,1392.7040,5900.4000,102.7160,38.1160,South American
8309,South American,Argentine,Latin American,190.4231,757.3620,6.2012,1.4820,South American
8310,South American,Argentine,Latin American,14.6181,311.7699,25.5322,16.9662,South American
8311,South American,Argentine,Latin American,12.0065,1147.3428,120.1491,66.1815,South American
8312,South American,Brazilian,Latin American,270.3376,2170.9000,13.1376,118.5708,South American
8313,South American,Brazilian,Latin American,575.8494,3529.2402,39.2055,134.7516,South American
8314,South American,Brazilian,Latin American,136.8481,1207.0720,43.8421,56.9288,South American
8315,South American,Brazilian,Latin American,72.6465,1761.5520,83.1608,129.6744,South American
8316,South American,Brazilian,Latin American,103.2910,506.4900,1.0305,10.7280,South American
8317,South American,Brazilian,Latin American,50.3008,2351.6513,145.5049,171.7330,South American
8318,South American,Brazilian,Latin American,8.7195,1769.5300,54.2160,172.7320,South American
8319,South American,Brazilian,Latin American,102.4730,490.5000,1.0305,10.7280,South American
8320,South American,Brazilian,Latin American,20.1657,751.0967,25.1138,63.9092,South American
8321,South American,Brazilian,Latin American,26.9085,983.8862,11.5774,99.6791,South American
8322,South American,Brazilian,Latin American,25.4829,877.8072,94.0314,44.5202,South American
8323,South American,Brazilian,Latin American,56.8625,1163.2790,60.6105,79.6554,South American
8324,South American,Brazilian,Latin American,373.2743,2065.1382,132.5226,9.6911,South American
8326,South American,Brazilian,Latin American,65.7639,698.3091,10.6714,48.1365,South American
8327,South American,Brazilian,Latin American,442.1313,3099.3553,189.9490,72.2687,South American
8328,South American,Brazilian,Latin American,421.8430,2236.4800,40.8384,50.6686,South American
8329,South American,Brazilian,Latin American,642.1372,4021.3234,66.0857,133.9485,South American
8330,South American,Brazilian,Latin American,298.7904,1811.4350,26.9534,53.1120,South American
8331,South American,Brazilian,Latin American,696.4368,4795.7840,136.0294,229.7886,South American
8332,South American,Brazilian,Latin American,308.3261,1463.9325,31.5244,10.4224,South American
8333,South American,Brazilian,Latin American,32.2964,1157.3256,23.0641,111.0923,South American
8334,South American,Brazilian,Latin American,503.9792,4327.4142,78.7679,246.7931,South American
8335,South American,Brazilian,Latin American,55.5898,980.8600,54.9270,60.5802,South American
8336,South American,Brazilian,Latin American,111.7655,643.5000,8.0145,21.6000,South American
8337,South American,Brazilian,Latin American,18.6894,564.7900,11.4730,52.0450,South American
8338,South American,Brazilian,Latin American,514.8650,3588.4447,51.8348,160.8861,South American
8339,South American,Brazilian,Latin American,133.9693,900.3550,8.9284,41.4766,South American
8340,South American,Brazilian,Latin American,3.8516,251.4040,0.6016,27.2500,South American
