Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
3435,Southeast Asian,Indonesian,Asian,126.4630,3442.2196,228.6072,227.5751,Southeast Asian
3436,Southeast Asian,Indonesian,Asian,26.8406,698.2169,2.4267,68.3922,Southeast Asian
3437,Southeast Asian,Indonesian,Asian,74.3372,2396.4036,193.9380,145.9531,Southeast Asian
3438,Southeast Asian,Indonesian,Asian,47.8303,1647.3999,179.1272,84.5960,Southeast Asian
3439,Southeast Asian,Indonesian,Asian,49.9121,1067.8366,84.9721,62.3498,Southeast Asian
3440,Southeast Asian,Indonesian,Asian,56.9422,333.3438,11.4983,11.4145,Southeast Asian
3441,Southeast Asian,Indonesian,Asian,202.2313,9292.4050,317.1210,860.9013,Southeast Asian
3442,Southeast Asian,Indonesian,Asian,110.6959,9472.1561,353.3268,880.1293,Southeast Asian
3443,Southeast Asian,Indonesian,Asian,155.1233,3079.0624,240.2924,181.3422,Southeast Asian
3444,Southeast Asian,Indonesian,Asian,18.2079,690.5589,99.4958,25.2681,Southeast Asian
3445,Southeast Asian,Indonesian,Asian,33.3706,237.3375,25.9678,1.8169,Southeast Asian
3446,Southeast Asian,Indonesian,Asian,503.8672,1952.8800,0.7632,0.0600,Southeast Asian
3447,Southeast Asian,Indonesian,Asian,27.1999,419.1958,5.0454,34.8861,Southeast Asian
3448,Southeast Asian,Indonesian,Asian,224.3507,1940.1547,140.9829,53.6008,Southeast Asian
3449,Southeast Asian,Indonesian,Asian,105.2501,3813.9200,50.1765,383.2854,Southeast Asian
3450,Southeast Asian,Indonesian,Asian,193.3524,1855.2279,125.9330,64.2097,Southeast Asian
3451,Southeast Asian,Indonesian,Asian,59.5410,1693.0813,17.6071,166.3878,Southeast Asian
3452,Southeast Asian,Indonesian,Asian,359.0627,2325.8403,99.7127,53.2202,Southeast Asian
3453,Southeast Asian,Indonesian,Asian,202.1665,3921.5194,229.8526,264.9554,Southeast Asian
