Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
10145,Spanish and Portuguese,Portuguese,European,199.9600,774.0000,0.0000,0.0000,Spanish and Portuguese
10146,Spanish and Portuguese,Portuguese,European,5.1800,869.6627,180.3646,9.4654,Spanish and Portuguese
10147,Spanish and Portuguese,Portuguese,European,360.6980,2240.4000,75.7940,57.1840,Spanish and Portuguese
10148,Spanish and Portuguese,Portuguese,European,436.6802,2520.8237,184.9130,9.6187,Spanish and Portuguese
10149,Spanish and Portuguese,Portuguese,European,404.1654,2231.4885,73.7783,32.5202,Spanish and Portuguese
10150,Spanish and Portuguese,Portuguese,European,153.7044,655.2860,10.8004,0.1721,Spanish and Portuguese
10151,Spanish and Portuguese,Portuguese,European,318.6585,2429.3392,215.9158,39.3855,Spanish and Portuguese
10152,Spanish and Portuguese,Portuguese,European,45.4696,757.0475,53.3436,42.5884,Spanish and Portuguese
10153,Spanish and Portuguese,Portuguese,European,47.4933,3965.7969,217.4706,318.2505,Spanish and Portuguese
10154,Spanish and Portuguese,Portuguese,European,69.5358,2374.1152,221.8470,131.4937,Spanish and Portuguese
10155,Spanish and Portuguese,Portuguese,European,310.1280,2339.3356,123.9214,75.5821,Spanish and Portuguese
10156,Spanish and Portuguese,Portuguese,European,237.4554,1348.7680,23.9269,35.0629,Spanish and Portuguese
10157,Spanish and Portuguese,Portuguese,European,85.8637,919.0733,22.4973,56.7388,Spanish and Portuguese
10158,Spanish and Portuguese,Portuguese,European,75.4684,1414.4358,134.5969,60.0040,Spanish and Portuguese
10159,Spanish and Portuguese,Portuguese,European,7.9344,2769.3662,277.6070,172.9764,Spanish and Portuguese
10160,Spanish and Portuguese,Portuguese,European,37.7650,216.4680,5.7645,5.9841,Spanish and Portuguese
10161,Spanish and Portuguese,Portuguese,European,55.6252,919.3905,55.0246,59.2434,Spanish and Portuguese
10162,Spanish and Portuguese,Portuguese,European,146.1331,928.4940,16.2924,33.6237,Spanish and Portuguese
10163,Spanish and Portuguese,Portuguese,European,45.4959,2372.3424,167.2474,168.8812,Spanish and Portuguese
10164,Spanish and Portuguese,Portuguese,European,99.5020,1357.7030,62.4796,79.1288,Spanish and Portuguese
10165,Spanish and Portuguese,Portuguese,European,360.7961,2614.4588,152.0620,64.3154,Spanish and Portuguese
10166,Spanish and Portuguese,Portuguese,European,95.8139,770.8259,31.3100,38.3784,Spanish and Portuguese
10167,Spanish and Portuguese,Portuguese,European,557.0186,3873.6772,229.7090,87.9960,Spanish and Portuguese
10168,Spanish and Portuguese,Portuguese,European,1412.0787,5420.4658,8.1647,2.0412,Spanish and Portuguese
10169,Spanish and Portuguese,Portuguese,European,10.7413,1094.5387,35.3698,103.7141,Spanish and Portuguese
10170,Spanish and Portuguese,Portuguese,European,63.4677,1734.0781,219.6575,65.0923,Spanish and Portuguese
10171,Spanish and Portuguese,Portuguese,European,200.8581,826.0392,10.7999,0.1744,Spanish and Portuguese
10172,Spanish and Portuguese,Portuguese,European,208.4993,1463.2300,36.4266,55.4037,Spanish and Portuguese
10173,Spanish and Portuguese,Portuguese,European,77.8481,1615.6248,188.8605,61.6515,Spanish and Portuguese
10174,Spanish and Portuguese,Portuguese,European,3314.6290,14327.6824,165.2884,197.2300,Spanish and Portuguese
10175,Spanish and Portuguese,Portuguese,European,220.7238,2753.3459,28.7264,201.1371,Spanish and Portuguese
10176,Spanish and Portuguese,Portuguese,European,164.4886,2522.3403,374.2777,23.9627,Spanish and Portuguese
10177,Spanish and Portuguese,Portuguese,European,46.8714,2678.3708,24.9801,275.4488,Spanish and Portuguese
