Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
3170,Thai,Thai,Asian,70.3150,2478.4982,96.3944,211.8790,Thai
3171,Thai,Thai,Asian,48.4704,1048.1277,15.3467,95.9863,Thai
3172,Thai,Thai,Asian,373.3058,3170.2477,81.7657,162.0008,Thai
3173,Thai,Thai,Asian,50.2166,1903.3288,63.9091,173.0239,Thai
3174,Thai,Thai,Asian,71.2465,6289.5971,115.2456,632.5066,Thai
3175,Thai,Thai,Asian,104.0509,3472.7200,169.3883,285.3450,Thai
3176,Thai,Thai,Asian,175.5956,2973.5342,38.9202,257.6554,Thai
3177,Thai,Thai,Asian,155.9318,1704.1540,41.4053,113.5149,Thai
3178,Thai,Thai,Asian,134.5504,2451.4007,121.2586,176.4804,Thai
3179,Thai,Thai,Asian,181.3520,1278.5419,34.6655,58.9609,Thai
3180,Thai,Thai,Asian,108.7826,673.9169,27.5998,13.4174,Thai
3181,Thai,Thai,Asian,36.8958,315.4671,21.8925,9.2423,Thai
3182,Thai,Thai,Asian,110.0884,5349.5067,358.9770,395.4146,Thai
3183,Thai,Thai,Asian,65.1669,436.2246,31.6963,7.9681,Thai
3184,Thai,Thai,Asian,24.7226,150.8705,16.5807,1.9991,Thai
3185,Thai,Thai,Asian,303.9658,1741.8733,106.2984,5.0927,Thai
3186,Thai,Thai,Asian,51.2192,446.3350,34.5206,12.9220,Thai
3187,Thai,Thai,Asian,107.4675,3260.1447,126.0210,283.3176,Thai
3188,Thai,Thai,Asian,76.3382,1913.1177,190.8380,99.1384,Thai
3189,Thai,Thai,Asian,51.7028,2474.3753,97.4326,221.5979,Thai
3190,Thai,Thai,Asian,5.9855,219.2453,46.5429,1.1750,Thai
3191,Thai,Thai,Asian,36.6387,177.3636,8.5671,2.3451,Thai
3192,Thai,Thai,Asian,75.9455,922.0150,64.5288,43.7135,Thai
3193,Thai,Thai,Asian,33.0817,503.8292,12.9365,37.3948,Thai
3194,Thai,Thai,Asian,35.6021,2688.1422,152.7770,216.7224,Thai
3195,Thai,Thai,Asian,324.0266,2357.0149,91.2277,90.2515,Thai
3196,Thai,Thai,Asian,32.9699,787.7502,39.4027,60.4790,Thai
3197,Thai,Thai,Asian,60.2163,1217.0250,49.1618,97.4553,Thai
3198,Thai,Thai,Asian,42.6076,1176.8322,15.5437,115.2171,Thai
3199,Thai,Thai,Asian,57.3840,1526.5939,144.5878,81.5983,Thai
3200,Thai,Thai,Asian,33.4402,1367.7938,98.6587,97.2158,Thai
3201,Thai,Thai,Asian,123.7320,1872.0067,50.2504,137.4780,Thai
3202,Thai,Thai,Asian,30.3672,1544.9155,105.9980,116.4022,Thai
3203,Thai,Thai,Asian,7.7477,546.1072,27.1909,48.4689,Thai
3204,Thai,Thai,Asian,12.4771,424.4442,6.1249,41.3267,Thai
3205,Thai,Thai,Asian,24.2677,580.8163,58.3204,29.8578,Thai
3206,Thai,Thai,Asian,62.4062,517.9414,11.9054,28.6931,Thai
3207,Thai,Thai,Asian,36.8557,1126.0410,104.2217,63.1245,Thai
3208,Thai,Thai,Asian,50.3888,1343.2787,88.6448,92.0639,Thai
3209,Thai,Thai,Asian,16.0252,527.5440,18.0420,47.3931,Thai
3210,Thai,Thai,Asian,18.6612,477.0300,26.4771,36.6321,Thai
3211,Thai,Thai,Asian,49.0650,1272.3634,60.2859,98.3175,Thai
3212,Thai,Thai,Asian,148.3815,3512.3755,154.9397,267.0853,Thai
3213,Thai,Thai,Asian,57.4297,2101.7328,110.3663,169.3616,Thai
3214,Thai,Thai,Asian,74.3372,2396.4036,193.9380,145.9531,Thai
3215,Thai,Thai,Asian,238.3801,2299.0962,142.1749,97.7336,Thai
3216,Thai,Thai,Asian,68.1969,1309.8410,44.8776,105.9450,Thai
3217,Thai,Thai,Asian,26.8281,1114.8647,12.0729,113.5628,Thai
3218,Thai,Thai,Asian,128.4026,2873.3568,279.9638,136.8711,Thai
3219,Thai,Thai,Asian,167.8415,1863.5082,21.4304,127.8021,Thai
3220,Thai,Thai,Asian,784.5877,6913.2412,274.7130,317.3205,Thai
3221,Thai,Thai,Asian,77.7594,2782.0073,49.9555,272.3116,Thai
3222,Thai,Thai,Asian,60.6687,1691.2097,91.4687,131.2661,Thai
3223,Thai,Thai,Asian,20.1691,1221.4025,202.2341,31.0380,Thai
3224,Thai,Thai,Asian,32.9030,779.6682,33.6307,60.3929,Thai
3225,Thai,Thai,Asian,55.0450,2585.7675,91.9227,236.8133,Thai
3226,Thai,Thai,Asian,48.3083,1744.4495,86.2546,137.3850,Thai
3227,Thai,Thai,Asian,55.0450,2827.9433,83.0312,268.7184,Thai
3228,Thai,Thai,Asian,274.2329,1885.7912,24.5267,90.2350,Thai
3229,Thai,Thai,Asian,72.9095,720.9745,26.2517,39.9284,Thai
3230,Thai,Thai,Asian,43.2280,845.1827,56.8702,53.0683,Thai
3231,Thai,Thai,Asian,63.8197,1554.7388,91.3467,109.3265,Thai
3232,Thai,Thai,Asian,87.9019,1661.4484,92.6030,117.0748,Thai
3233,Thai,Thai,Asian,107.1550,717.3827,13.9462,31.3012,Thai
3234,Thai,Thai,Asian,17.2724,486.3239,39.1582,30.5728,Thai
3235,Thai,Thai,Asian,17.6502,4435.4283,370.9751,312.9750,Thai
3236,Thai,Thai,Asian,69.8127,1383.7670,99.5039,83.3189,Thai
3237,Thai,Thai,Asian,40.7986,1662.7224,17.4490,171.5778,Thai
3238,Thai,Thai,Asian,56.7794,1362.0195,117.4510,78.2089,Thai
3239,Thai,Thai,Asian,28.1893,704.5614,74.5843,35.4586,Thai
3240,Thai,Thai,Asian,11.3905,534.7562,13.0713,52.1288,Thai
3241,Thai,Thai,Asian,411.9750,2556.0548,90.5582,57.4765,Thai
3242,Thai,Thai,Asian,64.7201,4946.4007,107.9391,475.9027,Thai
3243,Thai,Thai,Asian,236.8127,1487.5500,26.1178,55.7730,Thai
3244,Thai,Thai,Asian,101.8068,3323.4391,207.5935,248.2033,Thai
3245,Thai,Thai,Asian,91.6578,9100.3562,193.4381,891.2644,Thai
3246,Thai,Thai,Asian,150.0746,2850.4958,138.8161,201.7483,Thai
3247,Thai,Thai,Asian,30.6816,1251.6487,59.4323,104.5625,Thai
3248,Thai,Thai,Asian,74.5303,2020.6239,150.5953,129.9217,Thai
3249,Thai,Thai,Asian,281.7741,5241.1871,104.7777,449.2002,Thai
3250,Thai,Thai,Asian,142.7818,2601.3266,155.1622,171.1684,Thai
3251,Thai,Thai,Asian,407.9576,2942.1860,88.7936,107.5055,Thai
3252,Thai,Thai,Asian,106.5952,1241.2832,34.1777,82.5559,Thai
3253,Thai,Thai,Asian,25.4398,1385.1617,212.6437,45.9414,Thai
3254,Thai,Thai,Asian,91.5045,2872.9388,203.6886,192.5108,Thai
3255,Thai,Thai,Asian,152.8275,2027.4570,153.3514,93.2400,Thai
3256,Thai,Thai,Asian,104.6156,1842.3838,110.6817,116.6178,Thai
3257,Thai,Thai,Asian,58.8032,1646.4422,53.7327,137.6092,Thai
3258,Thai,Thai,Asian,55.0248,1788.6568,32.7129,174.0324,Thai
3259,Thai,Thai,Asian,60.3407,1756.1632,129.5416,115.0549,Thai
3260,Thai,Thai,Asian,72.5299,3750.0453,140.3706,319.4293,Thai
3261,Thai,Thai,Asian,161.2607,2153.4274,26.4662,172.5271,Thai
3262,Thai,Thai,Asian,166.2692,1595.6466,131.2468,45.0734,Thai
3263,Thai,Thai,Asian,30.1032,680.4935,61.5527,35.5794,Thai
3264,Thai,Thai,Asian,69.7715,1411.4646,61.4894,111.6513,Thai
3265,Thai,Thai,Asian,25.2655,1594.2549,156.1931,92.9501,Thai
3266,Thai,Thai,Asian,243.5794,1575.0263,30.0152,52.5206,Thai
3267,Thai,Thai,Asian,57.7960,1825.0625,81.9953,143.1240,Thai
3268,Thai,Thai,Asian,88.6334,1114.2682,86.7873,48.6759,Thai
3269,Thai,Thai,Asian,64.2174,1666.4816,103.8196,117.4695,Thai
3270,Thai,Thai,Asian,146.0390,2942.1515,88.8246,237.2917,Thai
3271,Thai,Thai,Asian,228.6029,2051.9837,154.8378,55.1000,Thai
3272,Thai,Thai,Asian,41.0943,1058.9116,95.8739,57.1019,Thai
3273,Thai,Thai,Asian,10.6656,344.7050,3.2235,34.2479,Thai
3274,Thai,Thai,Asian,125.8846,1257.3826,94.1176,42.8192,Thai
3275,Thai,Thai,Asian,26.8768,907.1358,20.5808,86.2859,Thai
3276,Thai,Thai,Asian,36.8557,1126.0410,104.2217,63.1245,Thai
3277,Thai,Thai,Asian,364.8796,6094.6334,974.1557,84.6125,Thai
3278,Thai,Thai,Asian,49.0859,1599.3656,101.4791,116.3844,Thai
3279,Thai,Thai,Asian,23.3814,880.1084,186.5968,6.3228,Thai
3280,Thai,Thai,Asian,94.6085,1455.4723,85.7943,91.3512,Thai
3281,Thai,Thai,Asian,14.8320,720.3512,97.3736,30.9889,Thai
3282,Thai,Thai,Asian,43.2280,845.1827,56.8702,53.0683,Thai
3283,Thai,Thai,Asian,14.8320,603.1192,97.3736,17.3889,Thai
3284,Thai,Thai,Asian,110.9087,845.2560,25.3662,37.2900,Thai
3285,Thai,Thai,Asian,109.6245,1273.7624,73.1353,61.4605,Thai
3286,Thai,Thai,Asian,83.1010,2712.6196,124.5435,207.5179,Thai
3287,Thai,Thai,Asian,42.4450,701.9272,32.0885,47.5063,Thai
3288,Thai,Thai,Asian,10.2318,11854.3819,3.1750,1336.6986,Thai
3289,Thai,Thai,Asian,36.9260,996.7990,142.8753,33.2633,Thai
3290,Thai,Thai,Asian,50.5671,2319.5852,222.3143,141.3467,Thai
3291,Thai,Thai,Asian,54.8181,1002.3846,151.1411,16.4719,Thai
3292,Thai,Thai,Asian,46.2895,1320.4092,102.7174,87.8612,Thai
3293,Thai,Thai,Asian,3.6293,1064.5611,181.6104,31.7887,Thai
3294,Thai,Thai,Asian,63.3015,507.6920,5.4913,29.0391,Thai
3295,Thai,Thai,Asian,6.9024,2146.8800,374.8992,58.7392,Thai
3296,Thai,Thai,Asian,33.4402,1367.7938,98.6587,97.2158,Thai
3297,Thai,Thai,Asian,21.5157,659.6171,63.3481,37.9914,Thai
3298,Thai,Thai,Asian,30.3672,1544.9155,105.9980,116.4022,Thai
3299,Thai,Thai,Asian,79.1809,4781.0306,503.1292,261.2809,Thai
3300,Thai,Thai,Asian,50.3888,1343.2787,88.6448,92.0639,Thai
3301,Thai,Thai,Asian,57.4297,2101.7328,110.3663,169.3616,Thai
3302,Thai,Thai,Asian,15.7140,13337.4369,1202.7282,903.1003,Thai
3303,Thai,Thai,Asian,201.1480,1044.3408,43.5797,16.7233,Thai
3304,Thai,Thai,Asian,321.0440,3700.3980,77.4106,231.1149,Thai
3305,Thai,Thai,Asian,4.5780,263.5525,1.9463,27.1733,Thai
3306,Thai,Thai,Asian,23.9933,234.9320,5.2550,14.7321,Thai
3307,Thai,Thai,Asian,281.8579,2109.3471,127.0704,47.7328,Thai
3308,Thai,Thai,Asian,55.0450,2585.7675,91.9227,236.8133,Thai
3309,Thai,Thai,Asian,45.2385,1099.6596,10.7416,105.0240,Thai
3310,Thai,Thai,Asian,55.0450,2827.9433,83.0312,268.7184,Thai
3311,Thai,Thai,Asian,274.2329,1885.7912,24.5267,90.2350,Thai
3312,Thai,Thai,Asian,57.4679,676.7690,48.3096,28.6748,Thai
3313,Thai,Thai,Asian,104.5898,31952.0200,537.9173,3298.2623,Thai
