Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
8633,UK,Scottish,European,318.7581,3359.5259,80.7863,217.7285,UK
8634,UK,Scottish,European,77.7384,426.6000,14.4180,5.7240,UK
8635,UK,Scottish,European,341.5100,3572.0000,85.7520,230.4000,UK
8636,UK,Scottish,European,16.6673,997.4572,63.1845,73.7500,UK
8637,UK,Scottish,European,785.8317,14043.5655,477.3108,1006.9326,UK
8638,UK,Scottish,European,143.9906,1292.4480,36.2227,69.6299,UK
8639,UK,Scottish,European,113.7953,1284.0000,32.0580,86.4000,UK
8640,UK,Scottish,European,62.8560,1368.0000,42.7440,115.2000,UK
8641,UK,Scottish,European,418.5425,2010.7500,11.8882,41.3160,UK
8642,UK,Scottish,European,70.5098,835.3620,21.4044,57.6000,UK
8643,UK,Scottish,European,162.8360,1755.0000,42.7440,115.2000,UK
8644,UK,Scottish,European,43.6491,1241.7712,200.6111,24.6903,UK
8645,UK,Scottish,European,111.4119,2282.3339,75.6285,169.0247,UK
8646,UK,Scottish,European,1055.9809,5407.7162,32.7049,142.1652,UK
8647,UK,Scottish,European,950.8980,5082.4433,23.2832,156.1984,UK
8648,UK,Scottish,European,331.5036,3584.4200,89.3310,234.3894,UK
8649,UK,Scottish,European,116.0692,1532.3802,99.7462,81.3897,UK
8650,UK,Scottish,European,97.8871,868.3155,38.8722,39.8630,UK
8651,UK,Scottish,European,139.9910,844.7913,25.0638,24.4913,UK
8652,UK,Scottish,European,103.7228,842.3720,24.3173,46.9508,UK
8653,UK,Scottish,European,176.2916,8770.7812,205.8979,807.7070,UK
8654,UK,Scottish,European,105.0578,1560.7600,45.8777,115.9479,UK
8655,UK,Scottish,European,551.0993,3337.4544,38.4242,123.3194,UK
8656,UK,Scottish,European,117.1553,513.2465,14.7145,1.2204,UK
8657,UK,Scottish,European,63.4349,470.1250,14.7160,17.9391,UK
8658,UK,Scottish,European,29.6017,294.3400,12.0075,15.3288,UK
8659,UK,Scottish,European,173.3380,3112.1100,203.7839,177.0296,UK
8660,UK,Scottish,European,756.0876,9728.0220,114.1872,725.1222,UK
8661,UK,Scottish,European,269.2119,2812.9828,18.6657,190.7311,UK
8662,UK,Scottish,European,123.0365,1602.0095,42.7440,115.2000,UK
8663,UK,Scottish,European,328.4991,3015.5690,23.3007,192.8027,UK
8664,UK,Scottish,European,0.5917,18.2783,3.6148,0.0683,UK
8665,UK,Scottish,European,174.1595,1303.7882,0.1358,72.8410,UK
8666,UK,Scottish,European,90.4853,2321.8201,72.8630,186.6094,UK
8667,UK,Scottish,European,487.7604,2408.6760,67.6260,72.4896,UK
8668,UK,Scottish,European,127.5594,821.0641,37.6501,15.6932,UK
8669,UK,Scottish,European,164.7261,1762.6578,42.9566,115.3983,UK
8670,UK,Scottish,European,465.3944,2897.7200,91.7940,135.0246,UK
8671,UK,Scottish,European,181.5245,2630.0195,113.3615,164.7324,UK
8672,UK,Scottish,European,223.8689,1506.1253,63.5220,78.4606,UK
8673,UK,Scottish,European,179.6425,1865.6120,209.6202,34.0590,UK
8674,UK,Scottish,European,157.6368,2329.9996,134.3281,124.1648,UK
8675,UK,Scottish,European,28.6132,916.5618,158.5680,18.4500,UK
8676,UK,Scottish,European,101.3520,2186.8662,29.6119,197.8811,UK
8677,UK,Scottish,European,41.8281,869.2154,100.4976,33.5151,UK
8678,UK,Scottish,European,958.4813,5465.0822,36.7184,189.2236,UK
8679,UK,Scottish,European,174.1647,784.5300,21.7502,2.7406,UK
8680,UK,Scottish,European,315.1122,4191.8400,24.2313,326.1691,UK
8681,UK,Scottish,European,132.3066,1119.4570,42.1538,51.6354,UK
8682,UK,Scottish,European,42.8336,848.8477,115.0715,24.4460,UK
8683,UK,English,European,66.0640,847.4480,16.9660,60.7550,UK
8684,UK,English,European,688.9154,3490.8722,51.1921,77.7219,UK
8685,UK,English,European,67.8909,713.1614,61.4387,22.4387,UK
8686,UK,English,European,67.2661,816.4263,41.0175,46.6964,UK
8687,UK,English,European,18.2463,678.3872,109.1209,19.8312,UK
8688,UK,English,European,669.3913,5714.9774,78.8092,328.6483,UK
