Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
13723,US,US,North American,223.6118,3015.5882,23.2481,244.2351,US
13724,US,US,North American,6.8702,903.9812,182.6698,11.8833,US
13725,US,US,North American,23.8087,3027.6851,42.5664,313.9079,US
13726,US,US,North American,24.8553,873.4390,97.3873,44.4921,US
13727,US,US,North American,5.2447,23.4085,1.1456,0.0828,US
13728,US,US,North American,15.4038,92.5100,0.8518,4.3158,US
13729,US,US,North American,349.5875,2123.9460,22.1635,81.3198,US
13730,US,US,North American,44.1659,1592.0567,277.3931,27.0839,US
13731,US,US,North American,14.3322,351.4960,20.2631,25.4193,US
13732,US,US,North American,1.5068,526.5800,6.0908,56.0352,US
13733,US,US,North American,72.2003,626.0416,81.4976,5.2193,US
13734,US,US,North American,291.8175,1197.0000,5.5215,8.5150,US
13735,US,US,North American,97.4803,7113.4562,361.7850,580.7887,US
13736,US,US,North American,1.4034,47.6841,6.1242,1.9010,US
13737,US,US,North American,17.3194,494.4361,95.1578,2.6559,US
13738,US,US,North American,144.4921,833.4750,36.2722,11.0442,US
13739,US,US,North American,2.8672,934.0800,28.2688,88.9056,US
13740,US,US,North American,2.7109,97.1408,1.7959,9.3047,US
13741,US,US,North American,169.0439,2008.8477,137.5869,91.0012,US
13742,US,US,North American,238.9845,1112.5451,48.8911,4.6637,US
13743,US,US,North American,109.1664,1190.1600,35.7900,72.3240,US
13744,US,US,North American,35.3823,702.7450,22.2614,58.2679,US
13745,US,US,North American,26.0172,159.8700,4.3332,4.2900,US
13746,US,US,North American,177.6780,2049.2515,78.8272,113.2660,US
13747,US,US,North American,387.1154,2160.0042,73.8792,41.2556,US
13748,US,US,North American,112.6131,1873.7433,52.0316,138.9929,US
13749,US,US,North American,219.6912,1618.8980,46.6409,68.0366,US
13750,US,US,North American,224.7990,2833.3421,210.6000,130.7876,US
13751,US,US,North American,38.3297,1025.4055,68.0473,66.9777,US
13752,US,US,North American,13.2569,1669.7093,361.3478,9.5512,US
13753,US,US,North American,693.7352,3210.0260,21.3745,58.2845,US
13754,US,US,North American,5.9339,101.3823,0.5240,9.2841,US
13755,US,US,North American,54.7172,3095.9234,114.8176,269.3974,US
13756,US,US,North American,6.3694,472.3418,29.9917,37.7943,US
13757,US,US,North American,21.8096,84.2619,0.0212,0.0035,US
13758,US,US,North American,166.8275,2615.4228,183.9864,141.6177,US
