Cuisine,Nutrient,μₙ (g),sₙ
Italian,Carbohydrate,568.9482,1.7029
Italian,Protein,341.5994,1.8118
Italian,Fat,276.7326,1.8986
Mexican,Carbohydrate,227.9156,1.5019
Mexican,Protein,183.4599,1.8492
Mexican,Fat,128.8437,2.0489
South American,Carbohydrate,307.7644,1.5066
South American,Protein,927.5037,1.7268
South American,Fat,367.2719,1.7209
Canadian,Carbohydrate,269.6105,1.6151
Canadian,Protein,106.8537,1.7130
Canadian,Fat,180.0283,1.9752
Indian Subcontinent,Carbohydrate,1368.4594,1.9093
Indian Subcontinent,Protein,900.3124,2.1958
Indian Subcontinent,Fat,662.7352,2.1641
French,Carbohydrate,640.7972,1.8173
French,Protein,226.6726,1.7812
French,Fat,308.2793,1.8715
Chinese and Mongolian,Carbohydrate,264.0009,1.5318
Chinese and Mongolian,Protein,453.0530,1.6955
Chinese and Mongolian,Fat,424.0348,1.7839
Australian,Carbohydrate,2180.6818,2.3656
Australian,Protein,1610.8680,2.5532
Australian,Fat,1534.7343,2.6525
US,Carbohydrate,168.8376,1.5271
US,Protein,106.7886,1.7158
US,Fat,122.7211,1.8043
UK,Carbohydrate,1661.1027,2.1241
UK,Protein,742.2904,2.0308
UK,Fat,909.3751,2.2670
