Cuisine,Lognormal D,Gamma D,Weibull D,Gaussian D,Exponential D,Uniform D
Italian,0.0807,0.2434,0.1140,0.4556,0.4601,0.9672
Mexican,0.0843,0.1445,0.0741,0.4646,0.2703,0.9816
South American,0.1011,0.2747,0.1416,0.4648,0.4950,0.9677
Canadian,0.0745,0.1377,0.0630,0.4655,0.2743,0.9827
Indian Subcontinent,0.0683,0.2908,0.1296,0.4451,0.6336,0.9450
French,0.0838,0.2353,0.1083,0.4479,0.4409,0.9607
Chinese and Mongolian,0.0669,0.2309,0.1148,0.4538,0.4544,0.9674
Australian,0.0381,0.2138,0.0886,0.4162,0.5618,0.9098
US,0.0806,0.0527,0.0373,0.2859,0.1240,0.8672
UK,0.0871,0.2845,0.1407,0.4457,0.6063,0.9454
