Cuisine,Lognormal,Gamma,Weibull,Gaussian,Exponential,Uniform
Italian,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
Mexican,66.6700,0.0000,100.0000,0.0000,0.0000,0.0000
South American,33.3300,0.0000,0.0000,0.0000,0.0000,0.0000
Canadian,66.6700,0.0000,100.0000,0.0000,0.0000,0.0000
Indian Subcontinent,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
French,66.6700,0.0000,33.3300,0.0000,0.0000,0.0000
Chinese and Mongolian,100.0000,0.0000,33.3300,0.0000,0.0000,0.0000
Australian,100.0000,0.0000,100.0000,0.0000,0.0000,0.0000
US,66.6700,100.0000,100.0000,0.0000,0.0000,0.0000
UK,66.6700,0.0000,0.0000,0.0000,0.0000,0.0000
