Cuisine,Carbohydrate mu_n (g),Carbohydrate s_n,Protein mu_n (g),Protein s_n,Fat mu_n (g),Fat s_n
Italian,568.9482,1.7029,341.5994,1.8118,276.7326,1.8986
Mexican,227.9156,1.5019,183.4599,1.8492,128.8437,2.0489
South American,307.7644,1.5066,927.5037,1.7268,367.2719,1.7209
Canadian,269.6105,1.6151,106.8537,1.7130,180.0283,1.9752
Indian Subcontinent,1368.4594,1.9093,900.3124,2.1958,662.7352,2.1641
French,640.7972,1.8173,226.6726,1.7812,308.2793,1.8715
Chinese and Mongolian,264.0009,1.5318,453.0530,1.6955,424.0348,1.7839
Australian,2180.6818,2.3656,1610.8680,2.5532,1534.7343,2.6525
US,168.8376,1.5271,106.7886,1.7158,122.7211,1.8043
UK,1661.1027,2.1241,742.2904,2.0308,909.3751,2.2670
