Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g)
2610,Middle Eastern,Egyptian,African,146.7606,805.6975,49.554,5.6564
2611,Middle Eastern,Egyptian,African,39.3312,386.767,15.5638,19.7239
2612,Middle Eastern,Egyptian,African,34.0004,1762.7662,82.9034,146.8971
2613,Middle Eastern,Egyptian,African,225.1172,1686.8298,67.8589,62.4829
2614,Middle Eastern,Egyptian,African,83.0609,1006.238,26.18,73.1713
2615,Middle Eastern,Egyptian,African,543.3028,4117.4667,46.5988,212.1542
2616,Middle Eastern,Egyptian,African,81.2955,1043.9806,68.5817,52.6077
2617,Middle Eastern,Egyptian,African,87.679,1469.8658,23.6185,120.2423
2618,Middle Eastern,Egyptian,African,158.2643,1065.3316,63.0252,24.9374
2619,Middle Eastern,Egyptian,African,244.3117,1814.1703,87.4819,58.2962
2620,Middle Eastern,Egyptian,African,2.9158,518.99,1.9215,56.4947
2621,Middle Eastern,Egyptian,African,167.6228,1409.6749,75.1704,55.538
2622,Middle Eastern,Egyptian,African,3.5687,483.4693,29.3962,38.8087
2623,Middle Eastern,Egyptian,African,28.8948,1223.6182,90.7007,82.8815
2624,Middle Eastern,Egyptian,African,14.9691,1493.0635,6.7678,160.7903
2625,Middle Eastern,Egyptian,African,402.8471,10481.3524,25.1462,1000.0285
2626,Middle Eastern,Egyptian,African,200.68,1521.0667,12.56,77.8433
2627,Middle Eastern,Egyptian,African,19.6895,1032.754,93.0839,62.671
2628,Middle Eastern,Egyptian,African,307.4246,2606.7885,51.3165,138.2951
2629,Middle Eastern,Egyptian,African,151.6076,918.9914,15.9219,28.9226
2630,Middle Eastern,Egyptian,African,8.7474,230.97,5.7645,19.4841
2631,Middle Eastern,Egyptian,African,288.0574,2650.691,133.2597,128.5493
2632,Middle Eastern,Egyptian,African,456.5984,2188.1254,55.4465,20.9732
2633,Middle Eastern,Egyptian,African,203.9699,6183.7783,3.1795,611.8695
2634,Middle Eastern,Egyptian,African,31.8679,329.5205,4.4733,20.805
2635,Middle Eastern,Egyptian,African,156.3066,1922.3923,120.9629,92.2091
2636,Middle Eastern,Egyptian,African,104.6808,1021.177,33.7192,55.2341
2637,Middle Eastern,Egyptian,African,10.1431,3904.84,10.0223,443.7902
2638,Rest Africa,Nigerian,African,11.2828,896.7931,147.6749,30.1224
2639,Rest Africa,Nigerian,African,61.3927,4741.44,257.1458,384.2864
2640,Rest Africa,Nigerian,African,237.934,1191.1535,30.4991,17.4933
2641,Rest Africa,Nigerian,African,43.1977,192.442,7.5372,6.4955
2642,Rest Africa,Nigerian,African,53.2087,1096.0535,14.2093,100.5834
2643,Rest Africa,Nigerian,African,209.4808,2310.3275,141.8314,102.749
2644,Rest Africa,Nigerian,African,221.9085,2591.7438,129.333,146.4061
2645,Rest Africa,Nigerian,African,20.0788,87.8378,4.8503,0.5071
2646,Rest Africa,Nigerian,African,14.0149,447.42,10.7526,40.3274
2647,Rest Africa,Nigerian,African,47.9025,1132.19,3.4759,109.7512
