recipe_no,ing_id
2610,3
2610,452
2610,180
2610,21
2610,1
2610,10
2610,20
2610,90
2610,9
2610,57
2611,19
2611,1
2611,59
2611,10
2611,82
2611,164
2611,43
2611,60
2611,12775
2612,5
2612,1
2612,680
2612,60
2612,63
2612,3
2612,512
2613,1
2613,5
2613,259
2613,22
2613,261
2613,10
2613,20
2613,57
2613,0
2613,221
2614,355
2614,119
2614,234
2614,120
2614,9
2614,90
2615,301
2615,112
2615,159
2615,355
2615,94
2615,109
2615,39
2615,11
2615,74
2616,34
2616,185
2616,2
2616,2247
2616,1
2616,195
2616,17
2616,0
2616,18
2616,163
2617,189
2617,3
2617,4787
2617,0
2617,9
2617,5
2617,163
2617,10
2617,79
2617,114
2617,2437
2617,144
2618,886
2618,5
2618,1
2618,8
2618,20
2618,16
2618,17
2618,13
2618,69
2619,181
2619,108
2619,57
2619,53
2619,20
2619,2157
2619,172
2619,179
2619,11281
2619,3
2619,60
2619,5
2619,102
2619,10
2619,8
2619,2
2619,82
2619,1085
2620,3
2620,2131
2620,11
2620,64
2620,15
2621,5
2621,1
2621,886
2621,35
2621,339
2621,10
2621,13
2622,7
2622,9
2622,106
2622,11
2622,19
2623,2558
2623,60
2623,2
2623,1
2623,65
2623,356
2623,43
2623,3
2624,64
2624,119
2624,1854
2624,71
2624,682
2624,438
2624,120
2624,57
2624,53
2625,3
2625,39
2625,93
2625,52
2625,19
2625,0
2625,18
2625,7
2625,420
2626,196
2626,39
2626,7
2626,4296
2626,18
2626,0
2627,27
2627,1
2627,76
2627,28
2627,13
2627,890
2628,301
2628,11
2628,39
2628,52
2628,94
2628,64
2628,163
2628,700
2628,109
2629,789
2629,3
2629,172
2629,402
2629,19
2629,1
2629,10
2629,8
2629,54
2629,13
2630,18
2630,0
2630,11
2630,5
2631,886
2631,49
2631,16
2631,24
2631,138
2631,10
2631,57
2631,0
2631,20
2631,119
2631,19
2632,19
2632,185
2632,3
2632,0
2632,402
2632,9071
2632,1
2632,10
2632,132
2632,8
2632,59
2632,9
2632,20
2632,53
2633,3
2633,39
2633,17
2633,148
2633,47
2633,18
2633,151
2633,32
2634,5
2634,768
2634,11651
2634,0
2634,3
2635,162
2635,27
2635,8128
2635,7
2635,60
2635,5
2635,3
2635,17
2635,2
2636,352
2636,2
2636,87
2636,1
2636,467
2636,43
2636,60
2636,3
2637,20
2637,847
2637,18
2637,7
2637,10
2637,59
2637,0
2637,11
2637,19
2638,155
2638,53
2638,42
2638,0
2638,23
2638,45
2638,134
2638,27
2638,58
2638,1
2638,41
2639,48
2639,10
2639,59
2639,562
2639,3
2639,193
2639,43
2639,87
2639,2261
2639,1
2639,13
2639,255
2639,10995
2640,5
2640,1
2640,8
2640,59
2640,0
2640,9
2640,53
2640,54
2640,68
2640,103
2640,3
2640,61
2640,185
2640,21
2640,146
2640,51
2641,42
2641,44
2641,17
2641,10
2641,23
2641,0
2641,129
2642,5
2642,1
2642,10
2642,43
2642,8
2642,101
2642,0
2642,61
2642,99
2642,35
2643,5
2643,580
2643,10
2643,1
2643,29
2643,20
2643,234
2643,9
2643,54
2643,0
2643,3
2643,1284
2643,259
2644,185
2644,3
2644,142
2644,241
2644,137
2644,10
2644,59
2644,219
2645,512
2645,470
2645,10
2645,17
2645,0
2646,109
2646,3257
2646,76
2646,404
2647,1225
2647,1
2647,281
2647,117
2647,429
2647,180
2647,1561
2647,4
2647,19
2647,0
2647,17
2648,379
2648,3
2648,35
2648,39
2648,111
2649,18
2649,2
2649,51
2649,11
2649,19
