Region,servings
Middle Eastern,4
Middle Eastern,4
Middle Eastern,4
Middle Eastern,3
Middle Eastern,24
Middle Eastern,8
Middle Eastern,4
Middle Eastern,4
Middle Eastern,6
Middle Eastern,8
Middle Eastern,6
Middle Eastern,4
Middle Eastern,2
Middle Eastern,4
Middle Eastern,4
Middle Eastern,40
Middle Eastern,36
Middle Eastern,4
Middle Eastern,8
Middle Eastern,4
Middle Eastern,8
Middle Eastern,10
Middle Eastern,12
Middle Eastern,8
Middle Eastern,3
Middle Eastern,24
Middle Eastern,4
Middle Eastern,4
Rest Africa,4
Rest Africa,6
Rest Africa,8
Rest Africa,4
Rest Africa,4
Rest Africa,6
Rest Africa,5
Rest Africa,8
Rest Africa,14
Rest Africa,100
Rest Africa,16
Rest Africa,8
Rest Africa,12
Rest Africa,6
Rest Africa,6
Rest Africa,4
Rest Africa,6
Rest Africa,3
Northern Africa,8
Northern Africa,6
Northern Africa,10
Northern Africa,6
Northern Africa,5
Northern Africa,4
Northern Africa,6
Northern Africa,6
Northern Africa,8
Northern Africa,4
Northern Africa,6
Northern Africa,8
Northern Africa,4
Northern Africa,6
Northern Africa,4
Northern Africa,6
Northern Africa,6
Northern Africa,6
Northern Africa,4
Northern Africa,4
Northern Africa,12
Northern Africa,6
Northern Africa,6
Northern Africa,8
Northern Africa,4
Northern Africa,8
Northern Africa,6
Northern Africa,7
Northern Africa,6
Northern Africa,8
Northern Africa,6
Northern Africa,6
Northern Africa,6
Northern Africa,6
Northern Africa,8
Northern Africa,20
Northern Africa,6
Northern Africa,2
Northern Africa,4
Northern Africa,6
Northern Africa,4
Northern Africa,6
Northern Africa,4
Northern Africa,4
Northern Africa,5
Northern Africa,16
Northern Africa,6
Northern Africa,4
Northern Africa,6
Northern Africa,4
Rest Africa,6
Rest Africa,4
Rest Africa,4
Rest Africa,4
Rest Africa,8
Rest Africa,10
Rest Africa,10
Rest Africa,10
Rest Africa,10
Rest Africa,12
Rest Africa,10
Rest Africa,5
Rest Africa,6
Rest Africa,6
Rest Africa,12
Rest Africa,6
Rest Africa,6
Rest Africa,6
Rest Africa,8
Rest Africa,8
Rest Africa,6
Rest Africa,8
Rest Africa,24
Rest Africa,6
Rest Africa,6
Rest Africa,8
Rest Africa,6
Rest Africa,6
Rest Africa,24
Rest Africa,8
Rest Africa,8
Rest Africa,4
Rest Africa,8
Rest Africa,6
Rest Africa,6
Rest Africa,6
Rest Africa,10
Rest Africa,16
Rest Africa,8
Rest Africa,4
Rest Africa,12
Rest Africa,16
Rest Africa,6
Rest Africa,24
Rest Africa,16
Rest Africa,8
Rest Africa,4
Rest Africa,4
Rest Africa,4
Rest Africa,6
Rest Africa,30
Rest Africa,4
Rest Africa,4
Rest Africa,5
Rest Africa,12
Rest Africa,4
Rest Africa,6
Rest Africa,8
Rest Africa,192
Rest Africa,6
Rest Africa,6
Rest Africa,4
Rest Africa,8
Rest Africa,4
Rest Africa,8
Rest Africa,4
Rest Africa,10
Rest Africa,12
Rest Africa,6
Rest Africa,3
Rest Africa,4
Rest Africa,8
Rest Africa,3
Rest Africa,2
Rest Africa,4
Rest Africa,4
Rest Africa,12
Rest Africa,4
Rest Africa,2
Rest Africa,4
Rest Africa,8
Rest Africa,16
Rest Africa,4
Rest Africa,3
Rest Africa,8
Rest Africa,6
Rest Africa,6
Rest Africa,6
Rest Africa,4
Rest Africa,6
Rest Africa,4
Rest Africa,6
Rest Africa,2
Rest Africa,6
Rest Africa,4
Rest Africa,40
Rest Africa,8
Rest Africa,4
Rest Africa,4
Rest Africa,4
Rest Africa,40
Rest Africa,5
Rest Africa,48
Rest Africa,16
Rest Africa,12
Rest Africa,24
Rest Africa,4
Rest Africa,8
Rest Africa,8
Rest Africa,6
Rest Africa,12
Rest Africa,4
Rest Africa,6
Rest Africa,10
Rest Africa,6
Rest Africa,4
Rest Africa,4
Rest Africa,4
Rest Africa,24
Rest Africa,24
Rest Africa,4
Rest Africa,10
Rest Africa,6
Rest Africa,14
Rest Africa,6
Rest Africa,40
Rest Africa,8
Rest Africa,6
Rest Africa,6
Rest Africa,16
Rest Africa,4
Middle Eastern,4
Middle Eastern,6
Middle Eastern,2
Middle Eastern,30
Middle Eastern,4
Middle Eastern,2
Middle Eastern,30
Middle Eastern,4
Middle Eastern,8
Middle Eastern,16
Middle Eastern,4
Middle Eastern,4
Middle Eastern,8
Middle Eastern,6
Middle Eastern,12
Middle Eastern,20
Middle Eastern,8
Middle Eastern,8
Middle Eastern,8
Middle Eastern,6
Middle Eastern,4
Middle Eastern,6
Middle Eastern,8
Middle Eastern,4
Middle Eastern,4
Middle Eastern,12
Middle Eastern,4
Middle Eastern,4
Middle Eastern,4
Middle Eastern,6
Middle Eastern,8
Middle Eastern,4
Middle Eastern,6
Middle Eastern,4
Middle Eastern,6
Middle Eastern,6
Middle Eastern,6
Middle Eastern,12
Middle Eastern,6
Middle Eastern,2
Middle Eastern,36
Middle Eastern,16
Middle Eastern,8
Middle Eastern,6
Middle Eastern,24
Middle Eastern,6
Middle Eastern,32
Middle Eastern,12
Middle Eastern,6
Chinese and Mongolian,6
Chinese and Mongolian,4
Chinese and Mongolian,6
Chinese and Mongolian,8
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,8
Chinese and Mongolian,6
Chinese and Mongolian,2
Chinese and Mongolian,4
Chinese and Mongolian,6
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,6
Chinese and Mongolian,4
Chinese and Mongolian,6
Chinese and Mongolian,3
Chinese and Mongolian,4
Chinese and Mongolian,6
Chinese and Mongolian,6
Chinese and Mongolian,3
Chinese and Mongolian,6
Chinese and Mongolian,6
Chinese and Mongolian,3
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,6
Chinese and Mongolian,6
Chinese and Mongolian,6
Chinese and Mongolian,6
Chinese and Mongolian,4
Chinese and Mongolian,6
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,10
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,8
Chinese and Mongolian,8
Chinese and Mongolian,6
Chinese and Mongolian,10
Chinese and Mongolian,4
Chinese and Mongolian,6
Chinese and Mongolian,7
Chinese and Mongolian,6
Chinese and Mongolian,2
Chinese and Mongolian,8
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,4
Chinese and Mongolian,2
Chinese and Mongolian,4
Chinese and Mongolian,6
Chinese and Mongolian,4
Chinese and Mongolian,2
Chinese and Mongolian,4
