Region,total_time
Middle Eastern,45
Middle Eastern,45
Middle Eastern,135
Middle Eastern,60
Middle Eastern,25
Middle Eastern,60
Middle Eastern,35
Middle Eastern,50
Middle Eastern,20
Middle Eastern,80
Middle Eastern,395
Middle Eastern,25
Middle Eastern,10
Middle Eastern,33
Middle Eastern,10
Middle Eastern,66
Middle Eastern,0
Middle Eastern,30
Middle Eastern,40
Middle Eastern,60
Middle Eastern,38
Middle Eastern,508
Middle Eastern,110
Middle Eastern,90
Middle Eastern,36
Middle Eastern,55
Middle Eastern,140
Middle Eastern,30
Rest Africa,65
Rest Africa,215
Rest Africa,80
Rest Africa,200
Rest Africa,60
Rest Africa,45
Rest Africa,40
Rest Africa,13
Rest Africa,35
Rest Africa,30
Rest Africa,15
Rest Africa,18
Rest Africa,35
Rest Africa,260
Rest Africa,145
Rest Africa,80
Rest Africa,75
Rest Africa,25
Northern Africa,330
Northern Africa,125
Northern Africa,75
Northern Africa,80
Northern Africa,0
Northern Africa,84
Northern Africa,65
Northern Africa,200
Northern Africa,590
Northern Africa,40
Northern Africa,60
Northern Africa,265
Northern Africa,90
Northern Africa,80
Northern Africa,45
Northern Africa,55
Northern Africa,60
Northern Africa,70
Northern Africa,297
Northern Africa,40
Northern Africa,5
Northern Africa,30
Northern Africa,90
Northern Africa,580
Northern Africa,65
Northern Africa,55
Northern Africa,72
Northern Africa,75
Northern Africa,20
Northern Africa,1Day20
Northern Africa,640
Northern Africa,90
Northern Africa,50
Northern Africa,650
Northern Africa,60
Northern Africa,40
Northern Africa,80
Northern Africa,0
Northern Africa,645
Northern Africa,30
Northern Africa,25
Northern Africa,126
Northern Africa,0
Northern Africa,100
Northern Africa,135
Northern Africa,140
Northern Africa,60
Northern Africa,63
Northern Africa,165
Northern Africa,55
Rest Africa,60
Rest Africa,65
Rest Africa,45
Rest Africa,40
Rest Africa,85
Rest Africa,405
Rest Africa,80
Rest Africa,45
Rest Africa,70
Rest Africa,65
Rest Africa,120
Rest Africa,140
Rest Africa,120
Rest Africa,95
Rest Africa,60
Rest Africa,150
Rest Africa,75
Rest Africa,115
Rest Africa,105
Rest Africa,188
Rest Africa,150
Rest Africa,630
Rest Africa,15
Rest Africa,120
Rest Africa,60
Rest Africa,50
Rest Africa,0
Rest Africa,0
Rest Africa,260
Rest Africa,540
Rest Africa,125
Rest Africa,45
Rest Africa,670
Rest Africa,0
Rest Africa,0
Rest Africa,90
Rest Africa,80
Rest Africa,65
Rest Africa,85
Rest Africa,50
Rest Africa,76
Rest Africa,80
Rest Africa,25
Rest Africa,20
Rest Africa,50
Rest Africa,70
Rest Africa,115
Rest Africa,60
Rest Africa,95
Rest Africa,70
Rest Africa,45
Rest Africa,40
Rest Africa,80
Rest Africa,40
Rest Africa,90
Rest Africa,60
Rest Africa,75
Rest Africa,133
Rest Africa,60
Rest Africa,45
Rest Africa,100
Rest Africa,55
Rest Africa,140
Rest Africa,55
Rest Africa,200
Rest Africa,105
Rest Africa,102
Rest Africa,100
Rest Africa,105
Rest Africa,75
Rest Africa,80
Rest Africa,35
Rest Africa,50
Rest Africa,35
Rest Africa,115
Rest Africa,15
Rest Africa,87
Rest Africa,60
Rest Africa,95
Rest Africa,35
Rest Africa,108
Rest Africa,110
Rest Africa,30
Rest Africa,60
Rest Africa,80
Rest Africa,360
Rest Africa,90
Rest Africa,25
Rest Africa,270
Rest Africa,245
Rest Africa,180
Rest Africa,175
Rest Africa,110
Rest Africa,65
Rest Africa,40
Rest Africa,0
Rest Africa,210
Rest Africa,130
Rest Africa,1Day20
Rest Africa,35
Rest Africa,20
Rest Africa,65
Rest Africa,32
Rest Africa,30
Rest Africa,45
Rest Africa,70
Rest Africa,65
Rest Africa,55
Rest Africa,110
Rest Africa,40
Rest Africa,0
Rest Africa,60
Rest Africa,105
Rest Africa,67
Rest Africa,35
Rest Africa,20
Rest Africa,30
Rest Africa,55
Rest Africa,125
Rest Africa,10
Rest Africa,97
Rest Africa,283
Rest Africa,30
Rest Africa,1Day20
Rest Africa,70
Rest Africa,125
Rest Africa,15
Rest Africa,89
Rest Africa,55
Rest Africa,57
Rest Africa,32
Middle Eastern,20
Middle Eastern,165
Middle Eastern,55
Middle Eastern,535
Middle Eastern,20
Middle Eastern,20
Middle Eastern,220
Middle Eastern,45
Middle Eastern,130
Middle Eastern,75
Middle Eastern,80
Middle Eastern,5
Middle Eastern,70
Middle Eastern,105
Middle Eastern,90
Middle Eastern,135
Middle Eastern,275
Middle Eastern,141
Middle Eastern,210
Middle Eastern,10
Middle Eastern,15
Middle Eastern,720
Middle Eastern,46
Middle Eastern,60
Middle Eastern,30
Middle Eastern,230
Middle Eastern,35
Middle Eastern,140
Middle Eastern,181
Middle Eastern,90
Middle Eastern,200
Middle Eastern,200
Middle Eastern,275
Middle Eastern,300
Middle Eastern,505
Middle Eastern,189
Middle Eastern,150
Middle Eastern,85
Middle Eastern,20
Middle Eastern,57
Middle Eastern,35
Middle Eastern,75
Middle Eastern,490
Middle Eastern,15
Middle Eastern,45
Middle Eastern,87
Middle Eastern,150
Middle Eastern,40
Middle Eastern,390
Chinese and Mongolian,100
Chinese and Mongolian,90
Chinese and Mongolian,50
Chinese and Mongolian,50
Chinese and Mongolian,35
Chinese and Mongolian,0
Chinese and Mongolian,50
Chinese and Mongolian,55
Chinese and Mongolian,30
Chinese and Mongolian,25
Chinese and Mongolian,55
Chinese and Mongolian,55
Chinese and Mongolian,57
Chinese and Mongolian,15
Chinese and Mongolian,40
Chinese and Mongolian,35
Chinese and Mongolian,40
Chinese and Mongolian,300
Chinese and Mongolian,0
Chinese and Mongolian,40
Chinese and Mongolian,55
Chinese and Mongolian,35
Chinese and Mongolian,40
Chinese and Mongolian,137
Chinese and Mongolian,45
Chinese and Mongolian,30
Chinese and Mongolian,35
Chinese and Mongolian,50
Chinese and Mongolian,75
Chinese and Mongolian,40
Chinese and Mongolian,90
Chinese and Mongolian,30
Chinese and Mongolian,45
Chinese and Mongolian,37
Chinese and Mongolian,45
Chinese and Mongolian,55
Chinese and Mongolian,50
Chinese and Mongolian,35
Chinese and Mongolian,60
Chinese and Mongolian,45
Chinese and Mongolian,530
Chinese and Mongolian,50
Chinese and Mongolian,67
Chinese and Mongolian,75
Chinese and Mongolian,75
Chinese and Mongolian,50
Chinese and Mongolian,0
Chinese and Mongolian,60
Chinese and Mongolian,0
Chinese and Mongolian,40
Chinese and Mongolian,35
Chinese and Mongolian,0
Chinese and Mongolian,60
Chinese and Mongolian,30
Chinese and Mongolian,75
Chinese and Mongolian,0
Chinese and Mongolian,45
Chinese and Mongolian,200
Chinese and Mongolian,25
Chinese and Mongolian,15
