Utensil,Frequency
bowl,71784
pan,68548
oven,55769
skillet,35788
pot,23587
saucepan,21848
cup,15228
nan,14587
dish,13942
sheet,9135
processor,7539
fork,5257
knife,5250
plate,4600
tablespoon,4471
mixer,4381
container,3969
spatula,2689
spoon,2343
cooker,2063
whisk,1935
board,1130
microwave,1085
platter,680
sieve,661
boiler,620
jar,342
casserole,269
masher,247
skewer,224
frypan,213
cutter,213
strainer,147
stockpot,120
ladle,102
shaker,99
crockpot,88
peeler,82
crock,81
tray,80
blender,78
saucepot,75
basket,58
teaspoon,47
saucer,45
jug,41
ramekin,39
mug,37
kettle,33
bottle,33
beater,32
scoop,31
foil,27
paddle,25
blade,22
corer,21
processer,16
fryer,14
frying-pan,14
box,12
grinder,12
saucpan,12
sauceboat,11
shell,11
pestle,11
steamer,10
marzipan,10
disc,10
suacepan,10
basin,10
