Cuisine,Beta,Lower_CI_95,Upper_CI_95,R_Squared,Num_Recipes
Korean,0.4138,0.3973,0.4302,0.9906,668
Central American,0.3854,0.3586,0.4123,0.9742,452
Canadian,0.3639,0.3408,0.387,0.9876,6671
Irish,0.3597,0.338,0.3815,0.9915,2516
French,0.3465,0.3213,0.3718,0.9864,6361
Scandinavian,0.3422,0.3261,0.3582,0.9954,2810
Japanese,0.3201,0.293,0.3471,0.9854,2031
Caribbean,0.3184,0.2997,0.3371,0.9911,3010
UK,0.3163,0.2988,0.3339,0.9928,4394
Middle Eastern,0.3147,0.299,0.3304,0.9923,3897
Northern Africa,0.3131,0.2862,0.3399,0.9849,1609
US,0.3131,0.2983,0.328,0.9913,5022
Indian Subcontinent,0.3104,0.2914,0.3294,0.9856,6456
Greek,0.307,0.2796,0.3344,0.9757,4170
Spanish and Portuguese,0.2995,0.2867,0.3123,0.9934,2840
Thai,0.2992,0.2816,0.3167,0.9902,2596
Mexican,0.2979,0.2787,0.317,0.981,14426
Rest Africa,0.2977,0.2784,0.3169,0.9871,2729
Chinese and Mongolian,0.2966,0.2787,0.3144,0.9833,5878
South American,0.2938,0.2796,0.308,0.9898,7160
Deutschland ,0.2929,0.2791,0.3067,0.9903,4313
Belgian,0.2911,0.2626,0.3197,0.9852,1059
Australian,0.2784,0.2694,0.2875,0.9948,5803
Italian,0.2749,0.2533,0.2966,0.978,16547
Southeast Asian,0.2681,0.2531,0.283,0.9936,1938
Eastern European,0.2556,0.2337,0.2775,0.9775,2497
