Cuisine,Beta,Lower_CI_95,Upper_CI_95,R_Squared,Num_Recipes
Central American,0.6319,0.6168,0.6469,0.9936,455
Korean,0.6172,0.6055,0.6288,0.994,668
Belgian,0.5869,0.5773,0.5965,0.9986,1060
Irish,0.5813,0.5766,0.586,0.9992,2529
UK,0.5689,0.5649,0.573,0.9989,4396
French,0.5651,0.5606,0.5696,0.9979,6375
Mexican,0.5602,0.5587,0.5616,0.9995,14447
Deutschland ,0.5574,0.5524,0.5623,0.9982,4321
Scandinavian,0.5555,0.5471,0.5638,0.9968,2811
Caribbean,0.5502,0.5447,0.5557,0.9985,3023
Japanese,0.5501,0.5413,0.5589,0.9974,2040
US,0.5395,0.5331,0.5459,0.9964,5025
Eastern European,0.5349,0.5281,0.5417,0.9979,2503
Rest Africa,0.534,0.5284,0.5397,0.9985,2739
Italian,0.5338,0.5327,0.5349,0.9996,16574
Spanish and Portuguese,0.5274,0.5226,0.5321,0.9989,2843
Southeast Asian,0.5262,0.5211,0.5314,0.9991,1940
Canadian,0.5237,0.5187,0.5287,0.9969,6694
Greek,0.5225,0.5197,0.5253,0.9994,4181
Thai,0.5225,0.5189,0.5261,0.9994,2603
Australian,0.516,0.5113,0.5206,0.9976,5819
Middle Eastern,0.5149,0.512,0.5178,0.9994,3905
Northern Africa,0.5107,0.5017,0.5198,0.9975,1610
Chinese and Mongolian,0.5093,0.5062,0.5125,0.9988,5888
South American,0.5059,0.5029,0.5089,0.9987,7171
Indian Subcontinent,0.4999,0.4975,0.5022,0.9993,6463
