Cuisine,a,b,c,R2,min_IC_at_L
Australian,6.347419342824964,-0.047435127871365945,-0.0011855924492494242,0.8524,40.0
Belgian,6.34888803686247,-0.04234529421162728,-0.0006175980572550691,0.4693,60.0
Canadian,6.054655247281267,-0.019188578174225965,-3.6464330401198696e-21,0.4929,60.0
Caribbean,6.21165878748481,-0.03954317783940129,-3.776509630223099e-19,0.5242,60.0
Central American,6.7960387335073955,-0.08693713018569832,-3.896049789548324e-19,0.7799,60.0
Chinese and Mongolian,5.937763160505537,-0.06895354077538329,-0.004542873212162641,0.6698,15.2
Deutschland ,5.703818670366946,-1.3037491419468788e-18,-0.00043050381606401605,0.025,1.0
Eastern European,5.895592716933312,-0.02040431929417871,-0.000962885182949832,0.0953,21.2
French,6.223958381996452,-0.02452217622101426,-9.178192122480275e-15,0.411,60.0
Greek,6.181748450637894,-0.02934748625083491,-1.4497461016124958e-15,0.6662,60.0
Indian Subcontinent,6.430396854310524,-0.09176419982267578,-0.002920649076002407,0.9003,31.4
Irish,6.108975829642227,-0.02509308888066329,-2.6938791009014452e-20,0.3733,60.0
Italian,6.399038340737659,-0.07843767262688231,-0.003638831870952171,0.9334,21.6
Japanese,6.1634414685413885,-0.03260668838526873,-6.0034700907567366e-21,0.7113,60.0
Korean,6.06831449677432,-0.03312067114784133,-9.972673236713604e-19,0.2322,60.0
Mexican,6.020097736542007,-0.04044276186019372,-0.0021401871014703664,0.5324,18.9
Middle Eastern,6.373852805794614,-0.059464125815954616,-0.0019078441602348095,0.8152,31.2
Northern Africa,6.865678005734866,-0.12802664787104898,-0.006533775676173695,0.8541,19.6
Rest Africa,6.492131359305781,-0.0748327868563416,-0.0020614811596945735,0.8329,36.3
Scandinavian,6.276963826406808,-0.04669682669540515,-0.003963024080957836,0.502,11.8
South American,5.587453092248026,-0.02108418699806166,-0.0010770761109471427,0.1934,19.6
Southeast Asian,6.135026428406229,-0.04364439195558401,-0.0003267076408646844,0.5771,60.0
Spanish and Portuguese,6.463419427310142,-0.09202858085006978,-0.004559810520868695,0.7183,20.2
Thai,6.317647443647179,-0.08028044443070315,-0.002775973500888284,0.7342,28.9
UK,6.217303268456838,-0.019169927839940787,-1.7448400375569863e-14,0.4528,60.0
US,5.8732567575823476,-0.01683211306703079,-9.171421002560494e-17,0.2102,60.0
