Cuisine,a,b,c,Recipe_Count
Middle Eastern,9.226989965963071,-0.12425094746735436,-0.011638372061860636,3905
Rest Africa,11.121521065775037,-0.20677921359034102,-0.014613331410482672,2739
Northern Africa,10.05890291434625,-0.18371485125413783,-0.012027774792438243,1610
Chinese and Mongolian,10.536276079989868,-0.1958456212664635,-0.017459944025274256,5888
Thai,11.731431622309863,-0.27080753946211716,-0.02210294970114413,2603
Southeast Asian,8.059111790609911,-0.007731105894069734,-0.001219342868535585,1940
Indian Subcontinent,10.243653691950469,-0.14920426195387668,-0.008563392565667629,6463
Japanese,8.532353827141886,-0.08866460147028273,-0.013438419810893476,2040
Australian,12.182375029012547,-0.24832114080296352,-0.021679357510082046,5819
Mexican,10.787021680217492,-0.18129291844841616,-0.013565660562795208,14447
Caribbean,12.093031379158997,-0.27051275198985497,-0.022242590189319063,3023
South American,12.483554443414512,-0.2687828644836362,-0.019921524215283926,7171
Eastern European,11.224606872992895,-0.29504360666614643,-0.028693190358033235,2503
Scandinavian,11.918020093508696,-0.3928329370421609,-0.0418147879050443,2811
UK,11.957714968856699,-0.30760793837975864,-0.031470546014215214,4396
Deutschland ,12.378516078030652,-0.348122728043903,-0.03433358324631045,4321
Greek,12.486799119004669,-0.3389395635169028,-0.028006530152041628,4181
French,12.433557691181742,-0.31402770537900504,-0.029047198423606507,6375
Spanish and Portuguese,11.336542672107463,-0.2525146119841449,-0.02158116489462924,2843
Italian,12.091542397329423,-0.2486880008337174,-0.01665132215693748,16574
Irish,11.608114718982886,-0.25280103312369595,-0.02249612682618464,2529
US,11.871955135276167,-0.25228027951834897,-0.02134449359689966,5025
Canadian,12.248012048970795,-0.27211182488316565,-0.02405796900525359,6694
