Cuisine,Alpha,Lower_CI_95,Upper_CI_95,R_Squared
US,2.524,2.456,2.592,0.9575
Australian,2.5158,2.4437,2.5879,0.9492
Deutschland ,2.5011,2.4286,2.5735,0.9488
Indian Subcontinent,2.4581,2.3795,2.5368,0.9382
Mexican,2.4332,2.3679,2.4985,0.9542
Canadian,2.4296,2.3608,2.4983,0.9503
Chinese and Mongolian,2.4285,2.3602,2.4968,0.9514
Italian,2.4216,2.3653,2.478,0.9652
Irish,2.4022,2.344,2.4603,0.9652
Greek,2.3865,2.3234,2.4496,0.9565
Scandinavian,2.3837,2.3218,2.4457,0.96
UK,2.3696,2.3041,2.435,0.9523
French,2.3665,2.2941,2.4389,0.9417
South American,2.3609,2.2935,2.4284,0.9503
Middle Eastern,2.3582,2.2918,2.4245,0.9522
Thai,2.3311,2.2721,2.3901,0.9635
Rest Africa,2.32,2.2616,2.3783,0.9624
Spanish and Portuguese,2.3183,2.2594,2.3771,0.9605
Eastern European,2.313,2.2578,2.3682,0.9646
Southeast Asian,2.3024,2.2393,2.3656,0.9566
Caribbean,2.2891,2.2314,2.3467,0.9607
Japanese,2.282,2.2165,2.3476,0.9531
Belgian,2.2546,2.2048,2.3043,0.9742
Northern Africa,2.198,2.1444,2.2516,0.9672
Korean,2.1606,2.1048,2.2165,0.9703
Central American,2.0402,1.9934,2.087,0.9754
