Cuisine,Alpha,Lower_CI_95,Upper_CI_95,R_Squared
Indian Subcontinent,1.5896,1.5788,1.6005,0.9688
Italian,1.5099,1.5019,1.518,0.9625
Middle Eastern,1.4893,1.4779,1.5007,0.9704
South American,1.4838,1.475,1.4925,0.9692
Chinese and Mongolian,1.4801,1.4708,1.4893,0.9712
Mexican,1.4738,1.4655,1.482,0.9607
Northern Africa,1.4708,1.4573,1.4843,0.9743
Thai,1.4686,1.4561,1.4811,0.9664
Greek,1.4644,1.4531,1.4758,0.9676
Australian,1.437,1.4281,1.446,0.97
Rest Africa,1.4227,1.411,1.4345,0.9675
Canadian,1.4216,1.4137,1.4295,0.9732
French,1.4071,1.3986,1.4157,0.9697
Southeast Asian,1.3935,1.3813,1.4056,0.9684
Spanish and Portuguese,1.3916,1.3806,1.4026,0.969
US,1.3856,1.3773,1.394,0.9725
Caribbean,1.3809,1.3706,1.3912,0.9686
Eastern European,1.3798,1.3678,1.3918,0.9683
Deutschland ,1.3708,1.3616,1.3801,0.9706
UK,1.363,1.3535,1.3726,0.967
Scandinavian,1.3532,1.3419,1.3645,0.9703
Japanese,1.313,1.3016,1.3244,0.9684
Irish,1.2944,1.2838,1.305,0.9657
Belgian,1.2046,1.1916,1.2177,0.9665
Korean,1.1927,1.1767,1.2087,0.9624
Central American,1.0747,1.0593,1.09,0.9563
